"%s (Default Template from Locale)","%s (Standaard sjabloon van localisatie)"
"%s cache type(s) disabled.","%s cache type(n) gedeactiveerd"
"%s cache type(s) enabled.","%s cache type(n) geactiveerd"
"%s cache type(s) refreshed.","%s cache type(n) vernieuwd"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Toegang geweigerd</h1><p>Toegang geweigerd.</p>"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Waarschuwing!</strong> Het gebruik van de minimum verkoopprijs zal alle productprijzen in de frontend verbergen."
"A new password was sent to your email address. Please check your email and click Back to Login.","Er is een nieuw wachtwoord naar u toe gestuurd. Controleer uw email, klik op Terug en log in."
"A user with the same user name or email aleady exists.","Een gebruiker met deze naam of dit e-mailadres bestaat reeds"
"API Key","API-sleutel"
"API Key Confirmation","API-sleutelbevestiging"
"API Stability","API stabiliteit"
"API Version","API versie"
"API:","API:"
"Abandoned Carts","Achtergelaten winkelwagens"
"About the calendar","Over de kalender"
"Access Denied","Geen toegang."
"Access Deny","Toegang weigeren."
"Access denied","Toegang geweigerd"
"Access denied.","Toegang geweigerd."
"Account Created in:","Account gemaakt in:"
"Account Created on (%s):","Account gemaakt op (%s):"
"Account Created on:","Account gemaakt op:"
"Account Information","Accountgegevens"
"Account Status","Account Status"
"Account status","Account-status"
"Account successfully saved","Account met succes opgeslagen"
"Action","Actie"
"Actions","Acties"
"Actions XML","Acties XML"
"Active","Actief"
"Add","Toevoegen"
"Add Author","Voeg auteur toe"
"Add Contents Path","Content-pad toevoegen"
"Add Exception","Uitzondering toevoegen"
"Add Field Mapping","Veldverwijzingen toevoegen"
"Add Field with URL:","Veld met URL toevoegen"
"Add Maintainer","Beheerder toevoegen"
"Add New Image","Nieuwe afbeelding toevoegen"
"Add New Profile","Nieuw profiel toevoegen"
"Add New Role","Nieuwe Rol toevoegen"
"Add New Template","Nieuw sjabloon toevoegen"
"Add New URL Rewrite","Voeg nieuwe URL Rewrite toe"
"Add New Urlrewrite","Nieuwe Url-rewrite toevoegen"
"Add New User","Nieuwe gebruiker toevoegen"
"Add New Variable","Voeg nieuwe variabele toe"
"Add New osCommerce Profile","Nieuw osCommerce-profiel toevoegen"
"Add PHP Extension dependency","PHP extension dependency toevoegen"
"Add Package dependency","Package dependency toevoegen"
"Add Subpackage dependency","Subpackage dependency toevoegen"
"Add URL Rewrite","URL Rewrite toevoegen"
"Add URL Rewrite for a Category","Voeg URL Rewrite toe voor categorie"
"Add URL Rewrite for a Product","Voeg URL Rewrite toe voor product"
"Add Urlrewrite","URL rewrite toevoegen"
"Add Urlrewrite for a Category","URL rewrite voor categorie toevoegen"
"Add Urlrewrite for a Product","URL rewrite voor product toevoegen"
"Add after","Toevoegen na"
"Additional Cache Management","Additionele cacheopties"
"Address Type:","Adrestype:"
"Admin","Beheerder"
"Advanced Admin Section","Sectie Geavanceerde Admin"
"Advanced Profiles","Geavanceerde profielen"
"Advanced Section","Sectie Geavanceerd"
"Aggregate Order","Volgorde samenvoegen"
"All","Alle"
"All Allowed Countries","Alle toegestane landen"
"All Cache","Gehele cache"
"All Files","Alle bestanden"
"All Reviews","Alle reviews"
"All Store Views","Alle winkelzichten"
"All Tags","Alle tags"
"All Websites","Alle websites"
"All countries","Alle landen"
"All fields","Alle velden"
"All possible rates were fetched, click on ""Save"" to apply","Alle mogelijke koersen zijn opgehaald, klik op ""Opslaan"" om te gebruiken"
"All possible rates were fetched, please click on ""Save"" to apply","Alle mogelijke koersen zijn opgehaald, klik op ""Opslaan"" om te gebruiken"
"All rates were fetched, click on ""Save"" to apply","Alle koersen zijn opgehaald, klik op 'Opslaan' om te gebruiken"
"All rates were fetched, please click on ""Save"" to apply","Alle prijzen werden opgehaald. Klik op ""Opslaan"" om toe te passen."
"All valid rates have been saved.","Alle beoordelingen zijn opgeslagen."
"All valid rates successfully saved","Alle geldige koersen zijn met succes opgeslagen"
"Amounts","Bedragen"
"An error occurred while clearing the JavaScript/CSS cache.","Er is een fout opgetreden bij het vernieuwen van de JavaScript / CSS cache."
"An error occurred while clearing the image cache.","Er is een fout opgetreden bij het vernieuwen van de afbeeldingen cache."
"An error occurred while creating the backup.","Er is een fout opgetreden bij het aanmaken van de backup."
"An error occurred while deleting email template data. Please review log and try again.","Er is een fout opgetreden bij het verwijderen van dit mailsjabloon."
"An error occurred while deleting this role.","Er is een fout opgetreden bij het verwijderen van deze rol"
"An error occurred while deleting this set.","Er is een fout opgetreden bij het verwijderen van deze set"
"An error occurred while deleting this template.","Er is een fout opgetreden bij het verwijderen van dit sjabloon"
"An error occurred while finishing process. Please refresh the cache","Er is een fout opgetreden. Vernieuw de cache en probeer het opnieuw."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Er is een fout opgetreden bij het herbouwen van de Catalogus Voorraad Status"
"An error occurred while rebuilding the catalog index.","Er is een fout opgetreden bij het herbouwen van de Catalogus Index"
"An error occurred while rebuilding the flat catalog category.","Er is een fout opgetreden bij het herbouwen van de Categorieën Index"
"An error occurred while rebuilding the flat product catalog.","Er is een fout opgetreden bij het herbouwen van deze rol Producten Index"
"An error occurred while rebuilding the search index.","Er is een fout opgetreden bij het herbouwen van de Zoek Index"
"An error occurred while refreshing the Catalog Rewrites.","Er is een fout opgetreden bij het vernieuwen van de Catalogus Rewrites"
"An error occurred while refreshing the Layered Navigation indices.","Er is een fout opgetreden bij het vernieuwen van de Layered Navigation indexes"
"An error occurred while refreshing the catalog rewrites.","Er is een fout opgetreden bij het herbouwen van de Catalogus Rewrites"
"An error occurred while refreshing the layered navigation indices.","Er is een fout opgetreden bij het herbouwen van de Gelaagde Navigatie"
"An error occurred while saving account.","Er is een fout opgetreden bij het opslaan van dit account"
"An error occurred while saving the customer.","Er is een fout opgetreden bij het opslaan van de klant"
"An error occurred while saving this configuration:","Er is een fout opgetreden bij het opslaan van deze configuratie:"
"An error occurred while saving this role.","Er is een fout opgetreden bij het opslaan van deze rol:"
"An error occurred while saving this template.","Er is een fout opgetreden bij het opslaan van dit sjabloon:"
"An error occurred while updating the selected review(s).","Er is een fout opgetreden bij het bijwerken van de geselecteerde review(s)."
"Any","Elke"
"Any Attribute Set","Iedere attributen-set"
"Any Group","Elke groep"
"Any Status","Elke status"
"Any Store","Elke winkel"
"Any Type","Elk type"
"Any Visibility","Elke zichtbaarheid"
"Apply MAP (Default Value)","Minimum verkoopprijs toepassen"
"Archive file name:","Bestandsnaam archief:"
"Are you sure that you want to delete this template?","Weet u zeker dat u dit sjabloon wilt verwijderen?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure you wish to INSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt installeren?"
"Are you sure you wish to UNINSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt de-installeren?"
"Are you sure you wish to UPGRADE all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt upgraden?"
"Area","Gebied"
"Assigned","Toegewezen"
"Associated Tags","Bijbehorende tag"
"Attribute Set Name:","Naam attributen-set:"
"Attribute set successfully saved.","Attributen-set is met succes opgeslagen"
"Attribute set was successfully removed.","Attributen-set is met succes verwijderd"
"Attributes","Attributen"
"Authors","Auteurs"
"Automatic","Automatisch"
"Available Products","Beschikbare producten"
"Available Version","Beschikbare versie"
"Average Order Amount","Gemiddeld bestelbedrag"
"Average Orders","Gemiddelde orderwaarde per order"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Back to local packages","Terug naar lokale pakketten"
"Backup","Back-up"
"Backup record was deleted","Back-up item is verwijderd"
"Backup record was deleted.","Backup verwijderd"
"Backup successfully created","Back-up met succes gemaakt"
"Backups","Back-ups"
"Base currency","Basis-valuta"
"Bcc","Bcc (Blinde kopie)"
"Bestsellers","Meest verkocht"
"Big Image","Grote afbeelding"
"Billing Address","Factuuradres"
"Billing Address:","Factuuradres:"
"Billing Agreement","Incasso-overeenkomst"
"Billing Agreements","Incasso-overeenkomsten"
"Block Information","Blok informatie"
"Both (without and with tax)","Beide (met en zonder BTW)"
"Both IPN and PDT","Zowel IPN als PDT"
"Browse Available Extensions","Beschikbare extensies doorbladeren"
"Browse Available Remote Extensions","Blader door extensies op afstand"
"Browse Files...","Blader door bestanden..."
"Bundle Items","Bundel-artikelen"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Een bundel met dynamische prijzen kan geen eigen opties bevatten. Opties worden niet opgeslagen."
"CMS","CMS"
"CRITICAL","KRITISCH"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab-gescheiden"
"Cache Control","Beheer cache"
"Cache Management","Beheer cache"
"Cache Type","Cache Soort"
"Can not add new comment.","Kan geen nieuwe notitie toevoegen."
"Can not add tracking number.","Kan geen tracking-nummer toevoegen."
"Can not delete tracking number.","Kan het tracking-nummer niet verwijderen."
"Can not do credit memo for order","Kan geen creditfactuur maken voor de bestelling."
"Can not do invoice for order","Kan geen factuur maken voor de bestelling."
"Can not do shipment for order.","Kan geen verzending aanmaken voor de bestelling."
"Can not initialize shipment for adding tracking number.","Kan verzending niet starten bij het toevoegen van het tracking-nummer."
"Can not initialize shipment for delete tracking number.","Kan verzending niet starten bij het verwijderen van het tracking-nummer."
"Can not load track with retrieving identifier.","Kan de tracking niet laden voor de ontvangende identifier."
"Can not retrieve tracking number detail.","Kan geen details ophalen van tracking-nummer."
"Can not save credit memo","Kan de creditfactuur niet opslaan."
"Can not save invoice","Kan de factuur niet opslaan."
"Can not save shipment.","Kan de zending niet opslaan."
"Can not send shipment information.","Kan de verzendgegevens niet versturen."
"Can not update item qty","Kan de artikel-hoeveelheid niet veranderen."
"Can't delete design change","Kan ontwerp-verandering niet verwijderen."
"Can't find email address.","Kan het email adres niet vinden."
"Cancel","Annuleren"
"Cannot add new comment.","Kan geen nieuwe reactie toevoegen"
"Cannot add tracking number.","Kan geen Track & Trace nummer toevoegen"
"Cannot create an invoice without products.","Kan geen factuur maken zonder producten"
"Cannot create credit memo for the order.","Kan geen creditfactuur voor deze order aanmaken"
"Cannot delete the design change.","Kan het design niet wijzigen"
"Cannot delete tracking number.","Kan het Track & Trace nummer niet verwijderen"
"Cannot do shipment for the order separately from invoice.","Kan geen verzendopdracht aanmaken zonder factuur"
"Cannot do shipment for the order.","Kan geen verzendopdracht voor deze order aanmaken"
"Cannot find the email address.","Kan geen e-mailadres vinden"
"Cannot initialize shipment for adding tracking number.","Kan dit Track & Trace nummer niet toevoegen"
"Cannot initialize shipment for delete tracking number.","Kan dit Track & Trace nummer niet verwijderen"
"Cannot load track with retrieving identifier.","Kan de Track & Trace informatie niet openen"
"Cannot retrieve tracking number detail.","Kan de Track & Trace informatie niet verkrijgen"
"Cannot save shipment.","Kan deze zending niet opslaan"
"Cannot save the cedit memo.","Kan deze creditfactuur niet opslaan"
"Cannot save the credit memo.","Kan creditfactuur niet opslaan"
"Cannot send shipment information.","Kan de verzend details niet versturen"
"Cannot update item quantity.","Kan de aantallen niet wijzigen"
"Cannot update the item's quantity.","Kan de aantallen van dit product niet aanpassen"
"Card Verification Number","Kaart-verificatienummer"
"Catalog","Catalogus"
"Catalog Price Rules","Catalogus prijsregels"
"Catalog Rewrites","Catalogus Rewrites"
"Catalog Rewrites was refreshed successfully","Catalogus Rewrites is met succes ververst."
"Catalog Rewrites were refreshed successfully","Catalogus Rewrites is met succes ververst."
"CatalogInventory Stock Status was rebuilded successfully","Voorraad-status van artikelen in catalogus is met succes opnieuw opgebouwd."
"Categories","Categorieën"
"Category","Categorie"
"Category:","Categorie:"
"Changelog","Wijzigingen-log"
"Channel","Kanaal"
"Channel:","Kanaal:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Grafiek is uitgeschakeld. Om deze te activeren, klik <a href=""%s"">hier</a>."
"Checkbox","Checkbox"
"Child Transactions","Bijbehorende transacties"
"Choose Store View","Winkelzicht kiezen"
"Choose Store View:","Winkelzicht kiezen:"
"Choose an attribute","Attribuut kiezen"
"Chosen product does not associated with any website.","Het geselecteerde product is niet geassocieerd met een website."
"Clear","Legen"
"Close","Sluit"
"Comment text field can not be empty.","Tekstveld Notitie mag niet leeg zijn."
"Comment text field cannot be empty.","Tekstveld Notitie mag niet leeg zijn."
"Comments History","Bestelling-notities"
"Complete","Voltooid"
"Configuration","Configuratie"
"Configuration successfully saved","Configuratie met succes opgeslagen"
"Confirmed email:","Bevestigde email:"
"Conflicts","Conflicten"
"Connect with the Magento Community","Verbinden met de Magento Community"
"Contents","Inhoud"
"Convert to Plain Text","Omzetten naar platte tekst"
"Cookie (unsafe)","Cookie (Onveilig)"
"Country","Land"
"Country:","Land:"
"Coupon Code","Kortingscode"
"Coupons","Kortingsbonnen"
"Create","Aanmaken"
"Create DB Backup","DB-backup aanmaken"
"Create Extension Package","Extensiepakket aanmaken"
"Create New Attribute","Nieuw attribuut aanmaken"
"Create URL Rewrite:","URL Rewrite aanmaken:"
"Create Urlrewrite:","URLrewrite aanmaken"
"Created At","Aangemaakt op"
"Credit Card Number","Creditcardnummer"
"Credit Card Type","Creditcard-maatschappij"
"Credit Card Type: %s","Creditcard-maatschappij: %s"
"Credit Memo History","Creditfactuur-geschiedenis"
"Credit Memo Totals","Creditfactuur-totalen"
"Credit Memo cancel error.","Annuleringsfout creditfactuur"
"Credit Memo total must be positive.","Totaal creditfactuur moet positief zijn."
"Credit Memo void error","Fout bij nietig verklaren creditfactuur"
"Credit Memo was successfully canceled.","Creditfactuur is met succes geannuleerd."
"Credit Memo was successfully created","Creditfactuur is met succes aangemaakt."
"Credit Memo was successfully voided","Creditfactuur is nietig verklaard."
"Credit Memos","Creditfacturen"
"Credit memo #%s comment added","Notitie toegevoegd aan creditfactuur #%s"
"Credit memo #%s created","Creditfactuur #%s gemaakt"
"Credit memo's total must be positive.","Creditfactuur moet positief zijn"
"Currency","Valuta"
"Currency Information","Valuta-gegevens"
"Currency Setup Section","Sectie Valuta-instellingen"
"Current Configuration Scope:","Scope huidige configuratie"
"Current Month","Huidige maand"
"Current Release Information","Gegevens huidige release"
"Custom","Op maat"
"Custom Variable %s","Maatwerk variabele %s"
"Custom Variables","Maatwerk Variabelen"
"Customer","Klant"
"Customer Group:","Klantgroep:"
"Customer Groups","Klantgroepen"
"Customer Name","Klantnaam"
"Customer Reviews","Klantbeoordelingen"
"Customer Shopping Carts","Winkelwagens van klant"
"Customer Since:","Klant sinds:"
"Customer Tax Classes","BTW percentages van klant"
"Customer was deleted","Klant is verwijderd"
"Customer was successfully saved","Klant is met succes opgeslagen"
"Customer with the same email already exists.","Er is al een klant met hetzelfde e-mailadres."
"Customers","Klanten"
"Customers by Number of Orders","Klanten o.b.v. aantal bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"DHTML Date/Time Selector","DHTML datum/tijd-kiezer"
"Dashboard","Dashboard"
"Data Format","Gegevensformaat"
"Data transfer:","Gegevensoverdracht:"
"Date","Datum"
"Date & Time","Datum & Tijd"
"Date Added","Datum toegevoegd"
"Date Updated","Datum bijgewerkt"
"Date selection:","Datumkeuze:"
"Date selector","Datumkiezer"
"Date:","Datum:"
"Day","Dag"
"Decimal separator:","Decimaal scheidingsteken:"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default (Admin) Values","Standaard (Admin) waarden"
"Default Billing Address","Standaard factuuradres"
"Default Config","Standaard configuratie"
"Default Popup Text Message","Standaard popup bericht"
"Default Template from Locale","Standaard-sjabloon a.d.v. localisatie"
"Default Values","Standaardwaarden"
"Default display currency ""%s"" is not available in allowed currencies","Standaard-valuta ""%s"" is niet beschikbaar in toegestane valuta."
"Default display currency ""%s"" is not available in allowed currencies.","Standaard-valuta ""%s"" is niet beschikbaar in toegestane valuta."
"Default scope","Standaard-scope"
"Delete","Verwijder"
"Delete %s","%s verwijderen"
"Delete %s '%s'","%s, %s verwijderen"
"Delete File","Verwijder bestand"
"Delete Image","Verwijder afbeelding"
"Delete Profile","Profiel verwijderen"
"Delete Role","Rol verwijderen"
"Delete Store","Verwijder winkel"
"Delete Store View","Winkelzicht verwijderen"
"Delete Template","Sjabloon verwijderen"
"Delete User","Gebruiker verwijderen"
"Delete Website","Website verwijderen"
"Dependencies","Afhankelijkheden"
"Description","Omschrijving"
"Description:","Omschrijving:"
"Design","Ontwerp"
"Design Section","Sectie Ontwerp"
"Design change deleted","Ontwerpverandering verwijderd"
"Design change saved","Ontwerpverandering opgeslagen"
"Details","Details"
"Developer Section","Sectie Ontwikkelaar"
"Direction:","Richting:"
"Disable","Uitschakelen"
"Disabled","Uitgeschakeld"
"Discount Amount","Kortinggrootte"
"Display %s first","%s eerst weergeven"
"Display Actual Price","Toon werkelijke prijs"
"Display default currency","Standaardvaluta weergeven"
"Distributed under GNU LGPL. See %s for details.","Uitgebracht onder GNU LGP licentie. Voor details zie %s."
"Do you really want to KILL parallel process and start new indexing process?","Wilt u een parallel proces echt stopzetten en opnieuw gaan indexeren?"
"Done By:","Gedaan door:"
"Download","Download"
"Download Remote File","Extern bestand downloaden"
"Download and Install","Downloaden en installeren"
"Downloading and installing $pkg, please wait...","Bezig met downloaden en installeren van $pkg, wacht a.u.b."
"Downloads","Downloads"
"Drag to move","Slepen om te verplaatsen"
"Drop-down","Dropdown"
"Edit","Wijzigen"
"Edit Design Change","Bewerk design"
"Edit Email Template","E-mail-sjabloon bewerken"
"Edit Poll","Poll bewerken"
"Edit Queue","Bewerk wachtrij"
"Edit Review","Bewerk review"
"Edit Role","Rol bewerken"
"Edit Store View","Winkelzicht bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"Edit Tag","Tag bewerken"
"Edit Template","Sjabloon bewerken"
"Edit URL Rewrite","Bewerk URL Rewrite"
"Edit Urlrewrite","URLrewrite bewerken"
"Edit User","Gebruiker bewerken"
"Edit User '%s'","Gebruiker '%s'"
"Edit Website","Website wijzigen"
"Email","E-mail"
"Email Address:","E-mailadres:"
"Email Preview","E-mail voorbeeld"
"Email address is empty.","E-mail adres is leeg."
"Email to a Friend","E-mail naar een vriend"
"Email:","E-mail:"
"Enable","Inschakelen"
"Enable MAP","Activeer minimum verkoopprijs"
"Enabled","Ingeschakeld"
"Enclose Values In:","Voeg waarden bij in:"
"Entity Type","Entiteittype"
"Entity type:","Entiteittype:"
"Error uploading the file","Fout bij uploaden van bestand"
"Error while cleared Image cache. Please try again later","Fout tijdens het legen van de afbeeldingscache. Probeer het later nog eens."
"Error while create backup. Please try again later","Fout tijdens maken van back-up. Probeer het later nog eens."
"Error while deleting this role. Please try again later.","Fout tijdens verwijderen van deze rol. Probeer het later nog eens."
"Error while deleting this set.","Fout tijdens verwijderen van deze set."
"Error while finished process. Please refresh cache","Fout tijdens het afronden van het proces. Vernieuw uw cache."
"Error while rebuilded CatalogInventory Stock Status. Please try again later","Fout bij het opnieuw opbouwen van de voorraad-status. Probeer het later nog eens."
"Error while rebuilded Search Index. Please try again later","Fout bij herstel zoekindex. Probeer het later opnieuw."
"Error while refreshed Catalog Rewrites. Please try again later","Fout tijdens het vernieuwen van de Catalogus Rewrites.  Probeer het later opnieuw."
"Error while refreshed Layered Navigation Indices. Please try again later","Fout tijdens het vernieuwen van de Gelaagde Navigatie.  Probeer het later opnieuw."
"Error while saving account. Please try again later","Fout tijdens het opslaan van het account. Probeer het later nog eens."
"Error while saving this configuration:","Fout tijdens het opslaan van deze configuratie:"
"Error while saving this role. Please try again later.","Fout tijdens het opslaan van deze rol. Probeer het later nog eens"
"Error while updating selected review(s). Please try again later.","Fout tijdens het bijwerken van de geselecteerde review(s). Probeer het later nog eens."
"Excel","Excel"
"Excl. Tax","Excl. BTW"
"Exclude","Sluit uit"
"Exclude (comma separated)","Sluit uit (door komma's gescheiden)"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Export","Exporteren"
"Export CSV","CSV exporteren"
"Export Filters","Filters exporteren"
"Export to:","Exporteren naar:"
"Export:","Exporteren:"
"Extension","Extensie"
"Extension Name","Extensienaam"
"Extensions","Extensies"
"FTP Host[:Port]","FTP Host[:Poort]"
"Failed to add a product to cart by id ""%s""","Kon geen product toevoegen aan winkelwagen met id ""%s"""
"Failed to add a product to cart by id ""%s"".","Kon geen product toevoegen aan winkelwagen met id ""%s""."
"Failed to cancel the billing agreement.","Kon de incasso-overeenkomst niet annuleren."
"Failed to clear the JavaScript/CSS cache.","Kon de JavaScript/CSS cache niet legen."
"Failed to delete the billing agreement.","Kon de incasso-overeenkomst niet verwijderen."
"Failed to load %1$s.xml or %1$s.ser","Kon %1$s.xml or %1$s.ser niet laden"
"Failed to update the profile.","Kon het profiel niet bijwerken."
"Field","Veld"
"Field Mapping","Veldindeling"
"File","Bestand"
"File Information","Bestandsgegevens"
"File name:","Bestandsnaam:"
"File size should be more than 0 bytes","Bestandsgrootte zou meer dan 0 bytes moeten zijn"
"Files","Bestanden"
"Final Price","Totaalprijs"
"Finished profile execution.","Klaar met uitvoeren van profiel."
"First Invoice Created Date","Eerste Factuur aangemaakt op"
"First Name","Voornaam"
"First Name is required field.","Voornaam is verplicht."
"First Name:","Voornaam:"
"Firstname","Voornaam"
"Fixed","Vast"
"Flush Catalog Images Cache","Leeg Catalogus Afbeeldingen Cache"
"Flush JavaScript/CSS Cache","Leeg JavaScript/CSS Cache"
"For category","Voor categorie"
"For latest version visit: %s","Bezoek %s voor de laatste versie"
"For product","Voor product"
"Forgot your password?","Uw wachtwoord vergeten?"
"Forgot your user name or password?","Wachtwoord of gebruikersnaam vergeten?"
"From","Van"
"GLOBAL","GLOBAAL"
"Gb","Gigabyte"
"General Information","Algemene Informatie"
"General Section","Seectie Algemeen"
"Get Image Base64","Base64-afbeelding ophalen"
"Get help for this page","Hulp voor deze pagina"
"Global Attribute","Globaal attribuut"
"Global Record Search","Doorzoek de hele site"
"Global Search","Overal zoeken"
"Go Today","Naar vandaag"
"Go to messages inbox","Ga naar berichten"
"Google Base","Google Base"
"Google Base Items","Google Base Items"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Totaal"
"Grid (default) / List","Tabel (standaard) / lijst"
"Grid Only","Alleen tabel"
"Group:","Groep:"
"Guest","Gast"
"HTTP (unsecure)","HTTP (onveilig)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Help Magento gezond te houden. Rapporteer alle bugs."
"Home","Home"
"ID","ID"
"ID Path","ID-pad"
"IP Address","IP-adres"
"IPN (Instant Payment Notification) Only","Alleen IPN (Instant Payment Notification)"
"If this message persists, please contact the store owner.","Als deze melding blijft bestaan, neem dan contact op met de winkeleigenaar."
"Ignore","Negeren"
"Image cache was cleared successfully","Afbeeldingen-cache is met succes geleegd."
"Images","Afbeeldingen"
"Images (.gif, .jpg, .png)","Afbeeldingen (.gif, .jpg, .png)"
"Images Cache","Afbeeldingen-cache"
"Import","Importeren"
"Import Service","Service importeren"
"Import and Export","Import & Export"
"Import and Export Tax Rates","Import & Export BTW Percentages"
"Import/Export","Importeren/Exporteren"
"Import/Export Advanced","Importeren/Exporteren geavanceerd"
"Import/Export Profile","Import/Export-profiel"
"Imported <strong>%s</strong> records","<strong>%s</strong> records geïmporteerd"
"In","In"
"In Database:","In database:"
"In File:","In bestand:"
"Inactive","Inactief"
"Incl. Tax","Incl. BTW"
"Include","Insluiten"
"Incoming Message","Bericht ontvangen"
"Individual Item","Individueel item"
"Insert Variable...","Variabele waarde invoegen..."
"Install","Installeren"
"Install Package File","Pakket-bestand installeren"
"Installed As","Geïnstalleerd als"
"Installed Extension Info","Geïnstalleerde extensiegegevens"
"Installed Version","Geïnstalleerde versie"
"Installing $pkg, please wait...","Bezig met installeren van $pkg, wacht a..ub..."
"Installing selected packages, please wait...","Bezig met installeren van geselecteerde pakketten, wacht a.u.b..."
"Instant Payment Notification (IPN)","Instant Payment Notification (IPN)"
"Interactive","Interactief"
"Interface Locale: %s","Interface-lokalisatie: %s"
"Invalid Form Key","Ongeldige formuliersleutel"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Gelieve de pagina te vernieuwen."
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Ongeldige POST-data (controleer instellingen van post_max_size en upload_max_filesize in uw php.ini file)"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in your php.ini file).","Ongeldige POST data (controleer de instellingen voor post_max_size en upload_max_filesize in uw php.ini bestand)"
"Invalid Secret Key. Please refresh the page.","Ongeldige geheime sleutel. Gelieve de pagina te vernieuwen."
"Invalid URL","Ongeldige URL"
"Invalid Username or Password.","Ongeldige gebruikersnaam of wachtwoord"
"Invalid directory: %s","Ongeldige map: %s"
"Invalid email address ""%s"".","Ongelding email ad email address ""%s""."
"Invalid file: %s","Ongeldig bestand: %s"
"Invalid input data for %s => %s rate","Ongeldige invoergegevens voor %s => %s koers"
"Invalid input:","Ongeldige invoer:"
"Invalid parent block for this block","Ongeldig 'moederblok' voor dit 'blok'"
