"About This Order:","Over deze bestelling:"
"Details","Details"
"Disable","Uitschakelen"
"Edit","Bewerken"
"Edit RMA Status","Bewerk RMA status"
"Edit RMA Type","Bewerk RMA type"
"E-mail","E-mail"
"Email sender","Afzender e-mail"
"Email templates","E-mailtempaltes"
"Enabled","Ingeschakeld"
"Enable email notifications","E-mail notificatie inschakelen"
"Enable ","Inschakelen"
"External RMA ID isn't specified","Extern RMA ID is niet gespecificeerd"
"External URL","Externe URL"
"Fax","Fax"
"File (","Bestand ("
"First Name","Voornaam"
"Forbidden file extension","Verboden bestandstype"
"Forbidden filename extensions for uploading","Verboden bestandstypes voor uploaden"
"General","Algemeen"
"Gift Message","Cadeau bericht"
"Id","Id"
"ID:","ID:"
"ID","ID"
"Initiated at:","Aangevraagd op:"
"Items Ordered","Producten besteld"
"Items RMA Requested for","Producten waarvoor RMA is aangevraagd"
"Last Name","Achternaam"
"Leave Comment","Bericht achterlaten"
"Manage Statuses","Beheer statussen"
"Manage Types","Beheer types"
"Max attachment size, kb","Max attachment size, kb"
"Maximal allowed attachment size is","Maximal allowed attachment size is"
"Message","Bericht"
"Name","Naam"
"New RMA request has been successfully added","New RMA request has been successfully added"
"New RMA Status","New RMA Status"
"New RMA Type","New RMA Type"
"No","Nee"
"No comments yet","Nog geen opmerkingen"
"No ID specified","Geen ID gespecificeerd"
"No items for request specified","Geen producten voor aanvraag gespecificeerd"
"No items requested","Geen producten aangevraagd"
"No items selected","Geen producten geselecteerd"
"No order selected","Geen bestelling geselecteerd"
"No shipping information available","Geen verzendinformatie beschikbaar"
"Notes","Aantekeningen"
"Notification sent to administrator (leave blank not to send)","Notification sent to administrator (leave blank not to send)"
"Notification sent to customer (leave blank not to send)","Notification sent to customer (leave blank not to send)"
"Notification sent to messages history (leave blank not to send)","Notification sent to messages history (leave blank not to send)"
"Notify about RMA #","Notify about RMA #"
"Notify about RMA","Notify about RMA"
"Order Date: %s","Order Date: %s"
"Order Details","Order Details"
"Order ID and customer email didn't match each other","Order ID and customer e-mail didn't match each other"
"Order ID isn't specified","Order ID isn't specified"
"Order Id","Order Id"
"Order ID","Order ID"
"Order Information","Informatie"
"Order #","Bestelnr: #"
"Order:","Bestelling:"
"Order","Bestelling"
"Order #%s - %s","Bestelling #%s - %s"
"Package Opened:","Verpakking geopend:"
"Package Opened","Verpakking geopend"
"Package sent","Pakket verzonden"
"Payment Method","Payment Method"
"Pending Approval","In afwachting"
"Pending Requests","Pending Requests"
"Pending RMA","Pending RMA"
"Please select order","Please select order"
"Please select region, state or province","Please select region, state or province"
"Post tracking code","Post tracking code"
"Print Label isn't allowed by admin","Print Label isn't allowed by admin"
"Print Label","Print Label"
"Print Order","Print Order"
"Print","Print"
"Product Name","Product"
"Qty","Aantal"
"Refund","Refund"
"Reorder","Reorder"
"Replacement","Vervanging"
"Request Details","Details van RMA aanvraag"
"Request ID isn't specified","Request ID isn't specified"
"Request Information","Informatie"
"Request New RMA","Nieuwe RMA aanvragen"
"Request Options","Opties van uw aanvraag"
"Request RMA","RMA aanvragen"
"Request should have at least one item","RMA aanvraag dient minimaal 1 product te betreffen"
"Request type","Type aanvraag"
"Request Type:","Type aanvraag:"
"Request Type","Type aanvraag"
"* Required Fields","* Verplicht"
"Resolved (canceled)","Geannuleerd"
"Resolved (refunded)","Terugbetaald"
"Resolved (replaced)","Vervangen"
"Resolve RMA after obtaining status","Resolve RMA after obtaining status"
"Return Address","Return Address"
"RMA department address","RMA department address"
"RMA department display name","RMA department display name"
"RMA department email","RMA department e-mail"
"RMA id isn't specified","RMA Id isn't specified"
"RMA Id isn't specified","RMA Id isn't specified"
"RMA Information","RMA Information"
"RMA Items","RMA Items"
"RMA Requests","RMA Requests"
"RMA","RMA"
"RMA status has been successfully changed","RMA status has been successfully changed"
"RMA successfully saved","RMA successfully saved"
"Save And Continue Edit","Save And Continue Edit"
"Separeted by commas","Separeted by commas"
"Set status to","Set status to"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"SKU","SKU"
"Some error occurs. Please, try again to select order","Some error occurs. Please, try again to select order"
"Some error occurs when uploading file","Some error occurs when uploading file"
"Sort Order","Sort Order"
"Sort","Sort"
"Sort value must be integer","Sort value must be integer"
"Specified order created later than","Specified order created later than"
"start type order's id","start type order's id"
"State/Province","State/Province"
"Status has been successfully saved","Status has been successfully saved"
"Status Information","Status Information"
"Status:","Status:"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Street Address","Street Address"
"Submit Comment","Submit Comment"
"Submit Request","Submit Request"
"Subscribe to Order Status","Subscribe to Order Status"
"Telephone","Telephone"
"This action can be called only via post","This action can be called only via post"
"This action can be called only via POST","This action can be called only via POST"
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","This order has been placed by registered customer. Please, authorize and request RMA via customer account."
"Too many orders found. Check your request","Too many orders found. Check your request"
"Type has been successfully saved","Type has been successfully saved"
"Type Information","Type Information"
"View Request","Bekijk"
"Wrong form data","Wrong form data"
"Wrong order ID","Wrong order ID"
"Wrong quantity for","Wrong quantity for"
"Wrong request ID","Wrong request ID"
"Wrong request method","Wrong request method"
"Yes","Ja"
"You are not authorized to request RMA for specified order","You are not authorized to request RMA for specified order"
"You can't comment resolved RMA","You can't comment resolved RMA"
"You can't remove this status","You can't remove this status"
"You can't request RMA for the given order","You can't request RMA for the given order"
"You have no orders to request RMA","You have no orders to request RMA"
"You have no RMA requests","You have no RMA requests"
"Your RMA is currently waiting for approval","Your RMA is currently waiting for approval"
"Your RMA successfully canceled","Your RMA successfully canceled"
"Zip/Postal Code","Zip/Postal Code"
"Notify about RMA ","Notify about RMA "
"Notify about RMA #","Notify about RMA #"
