"# of Use","kan # gebruikt worden"
"%1$s incl tax.","%1$s incl. BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"%s and above","%s en daar boven"
"Products per Page on Grid Default Value","Standaardwaarde producten per pagina rasterweergave"
"Products per Page on List Allowed Values","Toegestane waardes voor producten per pagina lijstweergave"
"Products per Page on List Default Value","Standaardwaarde producten per pagina lijstweergave"
"Properties","Eigenschappen"
"Qty","Hoeveelheid"
"Qty Increments","Hoeveelheid toenames"
"Qty Uses Decimals","Hoeveelheid gebruikt aantal decimalen"
"Qty for Item's Status to Become Out of Stock","Hoeveelheid benodigd om productstatus op 'Uitverkocht' of 'Niet op voorraad' te krijgen"
"Qty:","Hoeveelheid:"
"Quantity","Kwantiteit"
"Quick Create","Snel aanmaken"
"Quick Overview","Snel overzicht"
"Quick simple product creation","Snel een simpel product aanmaken"
"Records for ""","Records voor """
"Redirect","Doorverwijzing"
"Redirect URL","URL doorverwijzing (redirect)"
"Regular Price:","Reguliere prijs:"
"Related Products","Verwante producten"
"Remove","Verwijderen"
"Remove Product From Websites","Verwijder product van websites"
"Remove This Item","Verwijder dit onderdeel"
"Remove attribute from attribute set","Verwijder attribuut uit attribuutset"
"Remove attribute set","Verwijder attribuutset"
"Remove custom option","Verwijder maatwerk optie"
"Remove group from attribute set","Verwijder groep uit attribuutset"
"Remove option","Verwijder optie"
"Remove product assignment","Verwijder toewijzing product"
"Remove product image","Verwijder afbeelding product"
"Remove product link","Verwijder productlink"
"Remove value from custom option","Verwijder waarde van maatwerk optie"
"Rename existing group","Hernoem bestaande groep"
"Rename group","Hernoem groep"
"Reorganize EAV category structure to flat structure","Omzetten EAV categoriestructuur naar platte gegevensstructuur"
"Reorganize EAV product structure to flat structure","Omzetten EAV productstructur naar platte gegevensstructuur"
"Reset","Herstellen"
"Results","Resultaten"
"Retrieve attribute data","Ophalen attribuut gegevens"
"Retrieve attribute list","Ophalen attribuut lijst"
"Retrieve attribute options","Ophalen attribuut opties"
"Retrieve categories tree","Ophalen categorieën boomstructuur"
"Retrieve category attributes","Ophalen attributen van productcategorieën"
"Retrieve category data","Ophalen categoriegegevens"
"Retrieve hierarchical tree","Ophalen hierarchische boomstructuur"
"Retrieve linked products","Ophalen gekoppelde producten"
"Retrieve list of assigned products","Ophalen lijst met toegewezen producten"
"Retrieve list of option values","Ophalen lijst van optiewaardes"
"Retrieve list of product custom options","Ophalen lijst van product maatwerk opties"
"Retrieve one level of categories by website/store view/parent category","E&eactue;n niveau van categorie&euml;n per website/winkelzicht/ouder-categorie"
"Retrieve option value info","Ophalen optiewaarde info"
"Retrieve product","Ophalen product"
"Retrieve product attribute sets","Ophalen productattribuutsets"
"Retrieve product image","Ophalen productafbeelding"
"Retrieve product image list","Ophalen lijst productafbeeldingen"
"Retrieve product image types","Ophalen productafbeeldingtypes"
"Retrieve product link type attributes","Ophalen productlinktype attributen"
"Retrieve product link types","Ophalen productlinktypes"
"Retrieve product tier prices","Ophalen product staffelprijzen"
"Retrieve product types","Ophalen producttypen"
"Retrieve products data","Ophalen productgegevens"
"Retrieve products list by filters","Ophalen productenlijst per filter"
"Reviews","Beoordelingen"
"Roll Over for preview","Muis overheen bewegen voor weergave"
"Root","Bron"
"SKU","Artikelnummer (SKU)"
"SKU length should be %s characters maximum.","SKU lengte dient %s tekens maximaal te bevatten."
"Save","Opslaan"
"Save Attribute","Opslaan attribuut"
"Save Attribute Set","Opslaan attributenset"
"Save Category","Opslaan categorie"
"Save Search","Opslaan zoekopdracht"
"Save and Continue Edit","Opslaan en verder bewerken"
"Saved %d record(s)","%d record(s) opgeslagen"
"Scope","Bereik"
"Scope must not be changed, because the attribute is used in configurable products.","Bereik mag niet worden gewijzigd omdat het attribuut gebruikt wordt in configureerbare producten."
"Search","Zoeken"
"Search Engine Optimizations","Search-Engine Optimalisatie (SEO)"
"Search Information","Zoekinformatie"
"Search Query","Zoekopdracht"
"Search Term with such search query already exists.","Zoekterm met eenzelfde zoekwoord reeds aanwezig"
"Searchable","Doorzoekbaar"
"See price before order confirmation.","Zie prijs voorafgaand aan orderbevestiging."
"Select Category...","Selecteer categorie..."
"Select Configurable Attributes ","Selecteer configureerbare attributen"
"Select Product...","Selecteer product..."
"Select type of option","Selecteer het soort optie"
"Select type options required values rows.","Selecteer soort opties verplichte waarde rijen."
"Selected Product Types","Producttypen selecteren"
"Selected configuration is not available.","Geselecteerde configuratie is niet beschikbaar."
"Send Count","Verzenden inventarisatie"
"Set Ascending Direction","Instellen opklimmende richting"
"Set Descending Direction","Instellen afdalende richting"
"Set Name","Instellen naam"
"Set Root Category for Store","Instellen broncategorie voor winkel"
"Set root category for this store in the <a href=""%s"">configuration</a>","Broncategorie instellen voor deze winkel in de <a href=""%s"">configuratie</a>"
"Set special price","Instellen speciale aanbiedingsprijs"
"Set/Get current store view","Instellen/ophalen huidige winkelzicht"
"Settings","Instellingen"
"Shop By","Winkelen per"
"Shopping Options","Selectie verfijnen"
"Show","Geef weer"
"Show Details","Weergeven details"
"Show Tags","Weergeven etiketten"
"Simple Product","Eenvoudig (simpel) product"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Sla importeren van rij over: waarde ""%s"" niet geldig voor veld ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sla importeren van rij over: benodigd veld ""%s"" voor nieuwe klant is niet opgegeven."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sla importeren van rij over. Waarde ""%s"" ongeldig verklaard voor veld ""%s""."
"Skipping import row, required field ""%s"" for new products is not defined.","Sla importeren van rij over. Veld ""%s"" is niet opgegeven."
"Skipping import row, required field ""%s"" is not defined.","Sla importeren van rij over. Veld ""%s"" is niet opgegeven."
"Skipping import row, store ""%s"" field does not exist.","Sla importeren van rij over. Veld ""%s"" bestaat niet."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sla importeren van rij over. Waarde ""%s"" is ongeldig voor veld ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Enkele van de verwerkte producten hebben geen SKU waarde. Gelieve zorg te dragen voor SKU artikelcodes voorafgaande aan wijzigingsoperaties aan deze producten."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Enkele van de producten hieronder hebben niet alle verplichte opties gevuld. Gelieve deze te wijzigen en alle verplichte opties in te stellen."
"Sort By","Sorteer op"
"Sort Order","Sorteervolgorde"
"Source Model","Bronmodel"
"Special Expires On: %s","Aanbieding verloopt op: %s"
"Special Price:","Aanbiedingsprijs:"
"Special Price: %s","Aanbiedingsprijs: %s"
"Starting at:","Beginnend bij:"
"Static","Statisch"
"Static block and products","Statisch blok en producten"
"Static block only","Alleen statisch blok"
"Status","Status"
"Stock Availability","Voorraadpeil"
"Store","Winkel"
"Store View","Winkelzicht"
"Stretch","Uitrekken"
"Subscribe to RSS Feed","Abonneer op RSS-feed"
"Super product attributes configuration","Configuratie super-productattributen"
"Synonym For","Synoniem voor"
"System Properties","Systeemeigenschappen"
"Tag Name","Etiketnaam"
"Tax","Belasting"
"Template","Sjabloon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2$d filterable and/or sortable attributes. Currently there are %1$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","De platte catalogus module heeft een limiet van %2$d filter- en/of sorteerbare attributen. Momenteel zijn dit er %1$d. Doe het aantal filter-/sorteerbare attributen afnemen alvorens deze module te gebruiken is"
"The attribute model is not defined","Het attribuutmodel is niet opgegeven"
"The attribute set has been saved.","De attribuutset is opgeslagen"
"The base directory to upload file is not specified.","De basismap voor upload bestand niet opgegeven."
"The category has been deleted.","De categorie is verwijderd"
"The category has been saved.","De categorie is opgeslagen"
"The comparison list was cleared.","De lijst met productvergelijkingen is gewist."
"The file '%s' for '%s' has an invalid extension","Het bestand '%s' voor '%s' heeft een ongeldige extensie."
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Het bestand '%s' zojuist geupload is groter dan %s Megabytes toegestaan door de server"
"The file you uploaded is larger than %s Megabytes allowed by server","Het zojuist geuploade bestand is groter dan %s Megabytes toegestaan door de server"
"The filters must be an array.","De filters moeten een PHP Array-type zijn."
"The image contents is not valid base64 data.","De afbeeldingsinhoud bevat geen geldige base64-encoded data"
"The image is not specified.","De afbeelding is niet opgegeven."
"The model collection resource name is not defined.","De modellen verzameling bronnaam is niet gedefineerd."
"The product %s has been added to comparison list.","Het product %s is toegevoegd aan de lijst productvergelijking."
"The product %s has been removed from comparison list.","Het product %s is verwijderd uit de lijst productvergelijking"
"The product attribute has been deleted.","Het product attribuut is verwijderd"
"The product attribute has been saved.","Het product attribuut is opgeslagen"
"The product has been created.","Het product is aangemaakt"
"The product has been deleted.","Het product is verwijderd"
"The product has been duplicated.","Het product is gedupliceerd"
"The product has been saved.","Het product is opgeslagen"
"The product has required options","Het product heeft verplichte opties"
"The review has been deleted","De beoordeling is verwijderd"
"The review has been saved.","De beoordeling is opgeslagen"
"The review was removed by another user or does not exist.","De beoordeling bestaat niet, wellicht is deze door een andere gebruiker verwijderd."
"The search was deleted.","De zoekopdracht is verwijderd"
"The text is too long","De tekst is te lang"
"There are no %s available.","Er zijn geen %s beschikbaar."
"There are no customers for this alert","Er zijn geen klanten voor deze waarschuwing."
"There are no customers for this alert.","Er zijn geen klanten voor deze waarschuwing."
"There are no products matching the selection.","Er zijn geen producten overeenkomstig met selectie."
"There was an error while request processing.","Er is een fout opgetreden tijdens verwerking verzoek."
"This Attribute no longer exists","Het attribuut bestaat niet langer."
"This attribute cannot be deleted.","Dit attribuut kan niet verwijderd worden"
"This attribute cannot be edited.","Dit attribuut kan niet bewerkt worden"
"This attribute cannot be updated.","Dit attribuut kan niet bijgewerkt worden"
"This attribute is used in configurable products.","Dit attribuut wordt gebruikt in configureerbare producten."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Dit attribuut wordt gebruikt in configureerbare producten. Het is niet mogelijk deze uit de attribuutset te verwijderen."
"This attribute no longer exists","Dit attribuut bestaat niet langer"
"This attribute set no longer exists.","Deze attribuutset bestaat niet langer"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Deze groep bevat attributen die gebruikt worden in configureerbare producten: verplaats deze naar een andere groep en probeer het nogmaals."
"This group contains system attributes. Please move system attributes to another group and try again.","Deze groep bevat systeemattributen: verplaats deze naar een andere groep en probeer het nogmaals."
"This is a required option","Dit is een verplichte optie"
"This product no longer exists.","Dit product bestaat niet langer"
"This search no longer exists.","Deze zoekopdracht bestaat niet langer"
"This setting will be applied when all prices in the specific price interval are equal.","Deze instelling wordt toegepast zodra alle prijzen in de opgegeven prijsinterval gelijk zijn."
"Tier Pricing","Staffelprijzen"
"Tile","Tegel"
"Time Format","Tijdnotatie"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","Om ingeschakelde product(en) te herindexeren moet de winkel of het product opgegeven worden."
"To see product price, add this item to your cart. You can always remove it later.","Om productprijzen te zien, voeg dit onderdeel toe aan de winkelwagen. Het is altijd later te verwijderen."
"Top/Left","Links bovenaan"
"Top/Right","Rechts bovenaan"
"Total Qty Base Items","Totale hoeveelheid basisartikelen"
"Total incl. Tax: %1$s","Totaal incl. BTW: %1s"
"Total of %d record(s) have been deleted.","In totaal %d records(s) zijn verwijderd."
"Total of %d record(s) have been updated.","In totaal %d records(s) zijn bijgewerkt."
"Total of %d record(s) were updated","In totaal %d record(s) werden bijgewerkt"
"Type","Soort"
"URL Rewrite Management","URL herschrijvingen beheren"
"Unable to complete this request.","Deze opdracht kan niet uitgevoerd worden"
"Unable to find a search term to delete.","Deze zoekterm kan niet verwijderd worden"
"Unable to find an attribute to delete.","Dit attribuut kan niet verwijderd worden"
"Unable to get the product ID.","Het is niet mogelijk om de product-id te achterhalen"
"Unassigned Attributes","Niet-toegewezen attributen"
"Unknown EAV indexer type ""%s"".","Onbekende EAV index type ""%s""."
"Unknown attribute: %s.","Onbekend attribuut: %s"
"Unsupported product type ""%s"".","Onbekend producttype ""%s""."
"Up-sells","Bijverkoop (up-sells)"
"Update","Bijwerken"
"Update Attributes","Bijwerken attributen"
"Update Tier Price","Bijwerken staffelprijs"
"Update assigned product","Bijwerken toegewezen product"
"Update attribute","Bijwerken attribuut"
"Update attributes","Bijwerken attributen"
"Update category","Bijwerken categorie"
"Update custom option of product","Bijwerken maatwerk optie van product"
"Update product","Bijwerken product"
"Update product image","Bijwerken productafbeelding"
"Update product link","Bijwerken productlink"
"Update product tier prices","Bijwerken product staffelprijzen"
"Update value of custom option","Bijwerken waarde van maatwerk optie"
"Upload new product image ","Upload nieuwe productafbeelding"
"Use Canonical Link Meta Tag For Categories","Gebruik gangbaar (canonical) link meta-element voor categorieën"
"Use Canonical Link Meta Tag For Products","Gebruik gangbaar (canonical) link meta-element voor producten"
"Use Categories Path for Product URLs","Gebruik categorieënpad voor product URL's"
"Use Config Settings","Gebruik configuratieinstellingen"
"Use Default Value","Gebruik standaardwaarde"
"Use Flat Catalog Category","Gebruik platte catalogus categorie"
"Use Flat Catalog Product","Gebruik platte catalogus product"
"Use In Layered Navigation","Gebruik in gelaagde navigatie"
"Use In Search Results Layered Navigation","Gebruik in gelaagde navigatie van zoekresultaten"
"Use JavaScript Calendar","Maak gebruik van Javascript kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Gebruik statische URL's bij media inhoud van WYSIWYG-editor"
"Use To Create Configurable Product","Gebruik voor aanmaken configureerbaar product"
"Use Tree Like Category Sitemap","Gebruik boomachtige categorie voor sitemap"
"Use config","Gebruik config"
"Use default","Gebruik standaard"
"Use for Promo Rule Conditions","Gebruik voor promotie prijsregels"
"Use four-digit year format.","Gebruik viercijferige notatie voor jaartallen."
"Use in Advanced Search","Gebruik in geavanceerde zoekfunctie"
"Use in Layered Navigation","Gebruik in gelaagde navigatie"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Gebruiken in gelaagde navigatie<br />(alleen mogelijk met catalogus-veldtype ‘Dropdown’)"
"Use in Quick Search","Gebruik in 'Snel zoeken'"
"Used for Sorting in Product Listing","Gebruikt bij rangschikking in product lijstweergave"
"Used in Product Listing","Gebruikt in product lijstweergave"
"Value for ""%s"" is invalid.","Waarde voor ""%s"" is ongeldig."
"Value for ""%s"" is invalid: %s","Waarde voor ""%s"" is ongeldig: %s"
"Varchar","Varchar"
"View as","Weergeven als"
"Virtual Product","Virtueel-product"
"Visibility","Zichtbaarheid"
"Visible","Zichtbaar"
"Visible on Catalog Pages on Front-end","Zichtbaar op cataloguspagina's voorzijde"
"Visible on Product View Page on Front-end","Zichtbaar op productweergave pagina voorzijde"
"WYSIWYG Editor","WYSIWYG tekstverwerker"
"Watermark","Watermerk"
"Watermark Default Size","Watermerk standaard afmeting"
"Watermark Opacity, Percent","Watermerk transparantie (percentage)"
"Watermark Position","Watermerk positie"
"We Also Recommend","Ook aanbevolen"
"Website","Website"
"Websites","Websites"
"What's this?","Wat is dit?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Of getoond moet worden de 'Alles'-mogelijkheid in de 'Weergeven X per pagina' dropdown."
"Will make search for the query above return results for this search.","Zal bij zoeken op bovenstaande zoekopdracht resultaten teruggeven voor deze zoekactie."
"Wrong BuyRequest instance in options group.","Verkeerde 'BuyRequest' instantiatie in optiegroep"
"Wrong configuration item instance in options group.","Verkeerd configuratie element in optiegroep."
"Wrong configuration item option instance in options group.","Verkeerde configuratie optie element in optiegroep."
"Wrong option instance type in options group.","Verkeerde optie instantiatietype in optiegroep."
"Wrong option type to get group instance.","Onjuiste optie type om groepsinstantiatie op te halen."
"Wrong product instance type in options group.","Verkeerde product-instantie-type in opties-groep"
"Wrong product type filter specified","Verkeerde filter producttype opgegeven"
"Wrong product type to extract configurable options.","Verkeerde producttype om configureerbare opties uit te extraheren."
"Year Range","Jaartal bereik"
"Yes","Ja"
"You cannot remove system attribute from this set.","Dit systeemattribuut kan niet uit de set verwijderd worden."
"You have no items to compare.","Geen producten om te vergelijken."
"You may also be interested in the following product(s)","Wellicht ook nog geintresseerd in"
"Zoom In","Inzoomen"
"Zoom Out","Uitzoomen"
"and","en"
"and above","en hoger"
"categories","Categorie"
"each","elk"
"ex. http://domain.com","bijv. 'http://mijn.domein.nl"
"leave blank if its not an image","leeg laten indien geen afbeelding"
"per page","per pagina"
"products","producten"
"px.","pixels"
"save","bespaar"
"select all","selecteer alles"
"unselect all","deselecteer alles"
"x","x"
"All products","Alle producten"
"All products - recently added products, New products - products marked as new","Alle producten - recent toegevoegde producten, Nieuwe producten - producten gemarkeerd als nieuw"
"Category move error %s","Fout: categorie verplaatsen (%s)"
"Display Page Control","Weergeven pagina besturingselement"
"Display Type","Weergeven type"
"Enable for reindexing a big number of SKUs.","Inschakelen bij herindexeren van een groot aantal SKU's."
"New products","Nieuwe producten"
"Number of Products per Page","Aantal producten per pagina"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Ververs ""URL-herschrijvingen"" en  ""Productattributen"" in Systeem -&gt; <a href=""%s"">Beheer indexeringen</a>"
"Records for ""%s"" store found.","Records voor ""%s"" winkel gevonden"
"Some of the selected item options are not currently available.","Enkele van de geselecteerde item opties zijn op dit moment niet beschikbaar."
"The From Date value should be less than or equal to the To Date value.","De ""Datum Vanaf""-waarde dient voorafgaand of gelijk met de ""Datum Tot""-waarde te liggen."
"The attribute code '%s' is reserved by system. Please try another attribute code","De attribuutcode '%s' is gereserveerd door het system. Probeer een andere attribuutcode."
"Attribute group with the ""/name/"" name already exists","Attribuutgroep met de ""/name/"" reeds aanwezig"
"Amount","Bedrag"
"Attribute group with the ""/name/"" name already exists","Attribuut groep met de "/name/" naam reeds aanwezig"
"Attribute group with the /name/ name already exists","Attribuutgroep met de naam /name/ naam reeds aanwezig"
"Duplicate amount found.","Duplicaat bedrag gevonden"
"Multi update product","Multi update product"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Ververs ""Productattributen"" in Systeem -&gt; <a href=""%s"">Beheer indexeringen</a>"
"Please set up merge date/time","Stel de samenvoeging datum/tijd in"
"Please set up merge date/time later then present date","Stel de datum/tijd samenvoeging in op een moment later dan huidige datum"
"Search Weight","Zoekgewicht"
"Total Qty Content Items","Totale hoeveelheid onderdelen inhoud"
"Website Item Must be checked","Website onderdeel dient geselecteerd te zijn"
"Website Store Must be checked","Website winkel dient geselecteerd te zijn"
