"%s was added to your shopping cart.","%s a été ajouté à votre panier."
"* Required Fields","* Champs obligatoires"
"Load customer quote error","Erreur lors du chargement du panier client"
"Loading next step...","Chargement en cours de l'étape suivante..."
"Login","Connexion"
"Login/Registration Before","Connexion/inscription avant"
"Manage Checkout Terms and Conditions","Gérer les conditions générales de ventes"
"Maximum Display Recently Added Item(s)","Nombre maxi d'articles récemment ajoutés à afficher"
"Maximum qty allowed for Shipping to multiple addresses is %s","La quantité maxi autorisée pour la livraison à plusieurs adresses est %s"
"Move to Wishlist","Ajouter à la <br/>liste d'envies"
"Multishipping Checkout","Commande à livraisons multiples"
"Multishipping Checkout Address (Any) Form","Formulaire de commande à livraisons multiples"
"Multishipping Checkout Billing Address Creation","Création d'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Address Edit Form","Formulaire de modification d'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Address Selection","Sélection d'adresse de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Billing Information Step","Étape d'informations de facturation pour la commande à livraisons multiples"
"Multishipping Checkout Customer Address Edit Form","Formulaire de modification d'adresse client pour la commande à livraisons multiples"
"Multishipping Checkout Overview","Aperçu de commande à livraisons multiples"
"Multishipping Checkout Shipping Address Creation","Création d'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Address Edit Form","Formulaire de modification d'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Address Selection","Sélection d'adresse de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Shipping Information Step","Étape d'informations de livraison pour la commande à livraisons multiples"
"Multishipping Checkout Success","Commande à livraisons multiples réussie"
"My Cart","Mon panier"
"My Cart (%s item)","Mon panier (%s article)"
"My Cart (%s items)","Mon panier (%s articles)"
"My Cart Link","Lien vers mon panier"
"New Address","Nouvelle adresse"
"New Condition","Nouvelle condition"
"One Page Checkout","Passage de commande en une seule page"
"One Page Checkout Failure","Échec du passage de commande en une seule page"
"One Page Checkout Overview","Résumé de commande en une seule page"
"One Page Checkout Success","Réussite du passage de commande en une seule page"
"Order #","Commande n°"
"Order # ","Commande n° "
"Order Review","Vérification de commande"
"Order Success","Confirmation"
"Other Items in Your Order","Autres articles dans votre commande"
"Overview Items After","Aperçu des articles après"
"Password","Mot de passe"
"Payment Failed Email Reciever","Destinataire du mail d'erreur de paiement"
"Payment Failed Email Sender","Expéditeur du mail d'erreur de paiement"
"Payment Failed Emails","Emails d'erreur de paiement"
"Payment Failed Template","Gabarit d'erreur de paiement"
"Payment Information","Informations de paiement"
"Payment Method","Mode de paiement"
"Payment Methods After Checkout Button","Bouton de modes de paiement de fin de commande"
"Payment Methods Before Checkout Button","Bouton de modes de paiement de début de commande"
"Payment method is not defined","Le mode de paiement n'est pas défini"
"Payment profile # %s: ""%s"".","Profil de paiement n°%s : ""%s""."
"Place Order","Passez la commande"
"Please agree to all Terms and Conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Please agree to all Terms and Conditions before placing the orders.","Veuillez accepter les conditions générales de ventes avant de valider les commandes."
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Please log in below:","Veuillez vous identifier :"
"Please select region, state or province","Sélectionnez un département / état"
"Please select shipping address for applicable items","Choisissez une adresse de livraison pour chaque article"
"Please select shipping methods for all addresses","Sélectionnez les modes de livraison pour toutes les adresses"
"Price","Prix"
"Proceed to Checkout","Commander"
"Product","Produit"
"Product Name","Nom du produit"
"Qty","Qté"
"Quantity was recalculated from %d to %d","La quantité a été recalculée de %d à %d"
"Quote Lifetime (days)","Durée de vie du panier (en jours)"
"Recently added item(s)","Derniers articles ajoutés"
"Register","S'enregistrer"
"Register and save time!","Gagnez du temps !"
"Register to Create an Account","Enregistrez-vous pour créer un compte"
"Register with us for future convenience:","Enregistrez-vous et profitez de nombreux avantages :"
"Remove Item","Supprimer l'article"
"Remove This Item","Supprimer cet élément"
"Remove item","Retirer l'article"
"Review Order","Vérifier la commande"
"Review Order - %s","Vérifier la commande - %s"
"Sales","Ventes"
"Save Condition","Sauvegarder la condition"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Select Address","Sélectionner une adresse"
"Select Addresses","Choix des adresses"
"Select Shipping Method","Sélectionner le mode de livraison"
"Select State/Province...","Choisissez une région"
"Select a billing address from your address book or enter a new address.","Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une nouvelle adresse."
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""#"" onclick=""shipping.newAddress(true); return false;"">nouvelle adresse</a>."
"Send Payment Failed Email Copy Method","Envoyer une copie du mail d'erreur de paiement en utilisant la méthode"
"Send Payment Failed Email Copy To","Envoyer une copie du mail d'erreur de paiement à"
"Send To","Envoyer à"
"Separate by "","".","Séparé par des virgules."
"Ship to Multiple Addresses","Livrer à plusieurs adresses"
"Ship to different address","Livrer à une autre adresse"
"Ship to this address","Livrer à cette adresse"
"Shipping Address","Adresse de livraison"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shipping Methods","Modes de livraison"
"Shipping To","Livraison à"
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi"
"Shipping selection is not applicable.","Le choix de livraison n'est pas applicable."
"Shopping Cart","Panier"
"Shopping Cart Form Before","Avant le formulaire du panier"
"Shopping Cart Sidebar","Barre latérale du panier"
"Shopping Cart Sidebar Extra Actions","Actions supplémentaires de la barre latérale du panier"
"Shopping Cart is Empty","Le panier est vide"
"Show Content as","Afficher le contenu comme"
"Some of the requested products are not available in the desired quantity.","Certains produits ne sont pas disponibles dans les quantités demandées."
"Some of the requested products are unavailable.","Certains produits demandés ne sont plus disponibles."
"Some products quantities were recalculated because of quantity increment mismatch","Les quantités de certains produits ont été recalculées car elles ne respectaient pas le multiple de quantité"
"Sorry, no quotes are available for this order at this time.","Aucun mode de livraison n'est disponible pour votre adresse."
"State/Province","État/Région"
"Status","Statut"
"Store View","Vue magasin"
"Street Address","Adresse"
"Street Address %s","Rue - Voie – Bât. %s"
"Submitting order information...","Les informations de commande sont en cours d'envoi..."
"Subtotal","Sous-total"
"Telephone","Téléphone"
"Terms and Conditions","Conditions générales de ventes"
"Terms and Conditions Information","Informations de conditions générales de ventes"
"Terms and conditions","Conditions générales de ventes"
"Text","Texte"
"Thank you for your purchase!","Merci de votre achat !"
"The condition has been deleted","La condition a été supprimée."
"The condition has been saved.","La condition a été sauvegardée."
"The onepage checkout is disabled.","Le passage de commande en une seule page est désactivé."
"The product could not be found.","Le produit n'a pas été trouvé."
"The product does not exist.","Le produit n'existe pas."
"There are <a href=""%s"">%s items</a> in your cart.","Il y a <a href=""%s"">%s articles</a> dans votre panier."
"There is <a href=""%s"">1 item</a> in your cart.","Il y a <a href=""%s""><strong>1 article</strong></a> dans votre panier."
"There was an error processing your order. Please contact us or try again later.","Erreur lors du traitement de votre commande, veuillez réessayer plus tard."
"This condition no longer exists.","Cette condition n'existe plus."
"Total","Total"
"Total for this address","Total pour cette adresse"
"Unable to set Payment Method.","Impossible de choisir ce mode de paiement."
"Unit Price","Prix unitaire"
"Update Qty &amp; Addresses","Mettre à jour les quantités et adresses"
"Update Shopping Cart","Mettre à jour le panier"
"Update Total","Mettre à jour le total"
"Use Billing Address","Utiliser l'adresse de facturation"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Votre commande est en cours de traitement et vous recevrez bientôt un mail avec les détails de la commande. Quand la commande sera expédiée, vous recevrez un autre mail avec un lien pour suivre l'avancement de la livraison."
"You have no items in your shopping cart.","Votre panier est vide."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vous allez recevoir un mail de confirmation avec les détails de votre commande ainsi qu'un lien pour suivre son avancement."
"Your Checkout Progress","Avancement de votre commande"
"Your billing agreement # is: %s.","Votre n° d'entente de facturation est : %s."
"Your order # is: %s.","Votre n° de commande est : %s."
"Your order has been received","Votre commande a été reçue"
"Your order number is ","Votre numéro de commande est "
"Your recurring payment profiles:","Vos profils de paiement périodiques :"
"Zip/Postal Code","Code postal"
"osCommerce Orders","Commandes osCommerce"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Il existe déjà un client pour cet email. Veuillez vous connecter avec cet email ou utiliser un autre email pour vous inscrire."
"%s was updated in your shopping cart.","%s a été mis à jour dans votre panier."
"Add coupon code for shopping cart","Ajouter un code de réduction"
"Add product to shopping cart","Ajouter le produit au panier"
"Add product(s) to shopping cart","Ajouter le(s) produit(s) au panier"
"Cannot configure product.","Impossible de configurer le produit."
"Cannot process the item.","Impossible de traiter l'élément."
"Cannot update the item.","Impossible de mettre à jour l'élément."
"Cart Product Api","API de produit du panier"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliquez <a href=""%s"" onclick=""this.target='_blank'"">ici pour imprimer</a> une copie de votre confirmation de commande."
"Configure Cart Item","Configurer l'article"
"Create an order from shopping cart","Créer une commande à partir du panier"
"Customer Information","Informations client"
"Customer's information","Informations du client"
"Display number of items in wishlist","Afficher le nombre de produits dans la liste d'envies"
"Edit item","Éditer l'article"
"Edit item parameters","Éditer les paramètres de l'article"
"Get list of available payment methods","Récupérer la liste des moyens de paiement disponibles"
"Get list of available shipping methods","Récupérer la liste des modes de livraison disponibles"
"Get list of products in shopping cart","Récupérer la liste des produits dans le panier"
"Get terms and conditions","Récupérer les CGV"
"Get total prices for shopping cart","Récupérer les totaux pour le panier"
"Items After","Articles après"
"Payment method information","Informations de mode de paiement"
"Payment methods in shopping cart","Modes de paiement dans le panier"
"Products","Produits"
"Qty:","Qté :"
"Quote item does not exist.","L'article n'existe pas."
"Quote item is not found.","L'article n'a pas été trouvé."
"Remove coupon code from shopping cart","Supprimer le code de réduction du panier"
"Remove product from shopping cart","Retirer l'article du panier"
"Remove product(s) from shopping cart","Retirer l'(les) article(s) du panier"
"Retrieve information about shopping cart","Récupérer les informations du panier"
"Set customer for shopping cart","Renseigner le client pour le panier"
"Set customer's addresses in shopping cart","Renseigner les adresses du client dans le panier"
"Set payment method","Choisir le mode de paiement"
"Set shipping method","Choisir le mode de livraison"
"Shipping information","Informations de livraison"
"Shipping methods in shopping cart","Modes de livraison dans le panier"
"Shopping cart ability to set coupon code","Capacité du panier à renseigner le code de réduction"
"Update Cart","Mettre à jour le panier"
"Update product quantities in shopping cart","Mettre à jour les quantités du produit dans le panier"
"Update product(s) quantities in shopping cart","Mettre à jour les quantités du (des) produit(s) dans le panier"
"Your order number is","Votre numéro de commande est"
"Separate by "","".","Separate by "","Séparer par "",""."
"Add gift messages to shopping cart","Ajouter des messages cadeau au panier"
"Cart Product API","API de produit du panier"
"Gift Message","Message du cadeau"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","LE TOTAL DE LA COMMANDE S'AFFICHERA AVANT LA CONFIRMATION DE COMMANDE"
"One item of products do not have identifier or sku","Un produit n'a pas d'identifiant ou de référence (sku)."
"One item of products is not belong any of quote item","Un produit n'appartient à aucun des éléments du devis"
"Order place error.","Erreur lors de la création de commande."
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"What's this?","Qu'est-ce que c'est ?"
"Clear Shopping Cart","Vider le panier"
"Customer Address is not valid.","L'adresse du client n'est pas valide."
"Edit Condition","Éditer la condition"
"Invalid checkout type.","Type de passage de commande invalide."
"Invalid data.","Données non valides"
"Invalid email address ""%s""","L'email ""%s"" est invalide"
"Invalid shipping method.","Méthode de livraison non valide"
"Manage Terms and Conditions","Gérer les CGV"
"Minimum order amount is %s","Le montant minimal de commande est %s"
"Move","Déplacer"
"New Terms and Conditions","Nouvelles CGV"
"Please check billing address information.","Vérifiez les informations de l'adresse de facturation."
"Please check shipping address information.","Vérifiez les informations de l'adresse de livraison."
"Please check shipping addresses information.","Vérifiez les informations des adresses de livraison."
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité"
"Please select valid payment method.","Sélectionnez un mode de paiement valide."
"Please specify payment method.","Choisissez un mode de paiement."
"Please specify shipping method.","Choisissez un mode de livraison."
"Please specify shipping methods for all addresses.","Spécifiez le mode de livraison pour chaque adresse."
"Require Customer To Be Logged In To Checkout","Imposer au client d'être connecté pour passer une commande"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Désolé, le passage de commande en tant qu'invité n'est pas autorisé. Veuillez réessayer ou contacter le magasin."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Désolé, le passage de commande en tant qu'invité n'est pas autorisé. Veuillez réessayer ou contacter le magasin."
"Subtotal must exceed minimum order amount","Le sous-total doit être supérieur au montant minimal de commande"
"VAT Number","Numéro de TVA"
"Your order cannot be completed at this time as there is no payment methods available for it.","Vous ne pouvez pas continuer votre commande car aucun mode de paiement n'est disponible."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Vous ne pouvez pas continuer votre commande car aucun mode de livraison n'est disponible pour votre adresse."
"Your order has been received.","Votre commande a bien été reçue."
