"%s %s cycle.","Cycle %s %s."
"--Please Select--","--Votre choix--"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Payment method code is not set.","Le code de mode de paiement n'est pas renseigné."
"Payment method code is undefined.","Le code de mode de paiement est indéfini."
"Payment profile is invalid:\n%s","Le profil de paiement est invalide :\n%s"
"Period frequency is wrong.","La fréquence de période n'est pas correcte."
"Processor Id","Identifiant de processeur"
"Purchase Order","Bon de commande"
"Purchase Order Number","Numéro de bon de commande"
"Purchase Order Number:","Numéro de bon de commande :"
"Purchase Order Number: %s","Numéro de bon de commande : %s"
"Recurring Profile Start Date","Date de début de profil périodique"
"Recurring profile start date has invalid format.","Le format de la date de début de profil périodique est invalide."
"Reference ID is not set.","L'identifiant de référence n'est pas renseigné."
"Repeats %s time(s).","Répété %s fois."
"Repeats until suspended or canceled.","Répété jusqu'à suspension ou annulation."
"Request Card Security Code","Demander le code de sécurité de la carte"
"Saved CC","Carte de paiement enregistrée"
"Schedule Description","Description de la programmation"
"Schedule description must be not empty.","La description de la programmation ne peut pas être vide."
"Send Check to","Envoyer le chèque à"
"Send Check to:","Envoyer le chèque à :"
"Severe 3D Secure Card Validation","Vérification 3D Secure stricte"
"Severe validation removes chargeback liability on merchant.","La vérification 3D Secure stricte annule la responsabilité de rétrofacturation du marchand"
"Shipping Amount","Montant de la livraison"
"Short description of the recurring payment. By default equals to the product name.","Description courte du paiement périodique. Par défaut, le nom du produit est utilisé."
"Sort Order","Ordre de tri"
"Start Date","Date de début"
"Start date has invalid format.","La date de début a un format invalide."
"Start date is undefined.","La date de début n'est pas définie."
"Subscriber Name","Nom du souscripteur"
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"Tax Amount","Montant TVA"
"Test Mode","Mode test"
"The date when billing for the profile begins.","La date à laquelle commence la facturation pour le profil."
"The number of billing cycles for payment period.","Le nombre de cycles de facturation pour la période de paiement."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Le nombre de paiements programmés qui peuvent échouer avant que le profil soit suspendu automatiquement."
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible."
"Title","Titre"
"Trial Billing Amount","Montant de facturation d'un essai"
"Trial Billing Frequency","Fréquence de facturation d'un essai"
"Trial Billing Period Unit","Unité de la période de facturation d'un essai"
"Trial Period","Période d'essai"
"Trial billing amount is wrong.","Le montant de facturation d'essai est incorrect."
"Trial billing period unit is wrong.","L'unité de la période de facturation d'essai est incorrecte."
"Trial period frequency is wrong.","La fréquence de période d'essai n'est pas correcte."
"Trial period max cycles is wrong.","La quantité maxi de cycles de période d'essai est incorrecte."
"Two Weeks","Deux semaines"
"Unable to save Billing Agreement:","Impossible de sauvegarder le contrat de facturation :"
"Unit for billing during the subscription period.","Unité de la période de facturation pendant la période de l'inscription."
"Unsupported currency code: %s.","Code de devise non supporté : %s."
"Week","Semaine"
"What is this?","Aide ?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Le profil de paiement doit-il être suspendu si les frais initiaux échouent ou doivent-ils être ajoutés au montant à payer ?"
"Wrong %s specified.","Mauvais(e) %s."
"Wrong or empty billing amount specified.","Mauvais montant de facturation spécifié."
"Year","Année"
"Zero Subtotal Checkout","Règlement d'un sous-total nul"
"Payment profile is invalid:\n%s","Le profil de paiement est invalide :\n%s"
"Payment profile is invalid:n%s","Le profil de paiement est invalide :\n%s"
"Merchant ID","ID de marchand"
"Processor ID","ID de processeur"
"Authorize action is not available.","L'action 'autoriser' n'est pas disponible."
"Bank Transfer Payment","Paiement par virement bancaire"
"Cannot retrieve the payment information object instance.","Impossible de récupérer l'instance d'objet des informations de paiement."
"Cannot retrieve the payment method code.","Impossible de récupérer le code du mode de paiement."
"Capture action is not available.","L'action 'capturer' n'est pas disponible."
"Cash On Delivery Payment","Paiement en espèces à la livraison"
"Credit card number mismatch with credit card type.","Le numéro de carte bancaire ne correspond pas au type de carte bancaire."
"Credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement."
"Incorrect credit card expiration date.","Mauvaise date d'expiration de carte de crédit."
"Instructions","Instructions"
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"Order action is not available.","L'action 'commande' n'est pas disponible."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Refund action is not available.","L'action 'rembourser' n'est pas disponible."
"Selected payment type is not allowed for billing country.","Le type de paiement sélectionné n'est pas autorisé pour le pays de facturation."
"The requested Payment Method is not available.","La méthode demandée de paiement n'est pas disponible."
"Void action is not available.","L'action 'annuler' n'est pas disponible."
