"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d règles de prix catalogue basées sur l'attribut ""%s"" ont été désactivées."
"Wrong rule specified.","Mauvaise règle spécifiée"
"Yes","Oui"
"Coupon with the same code","Coupon de réduction avec le même code"
"If an item is %s in the cart with %s of these conditions true:","Si un article est %s panier et qu'il répond à %s ces conditions :"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Si %s %s %s pour une sous-sélection d'articles dans le panier répondant à %s ces conditions :"
"total quantity","la quantité totale"
"total amount","le montant total"
"FOUND","PRÉSENT DANS LE"
"NOT FOUND","ABSENT DU"
"Can't acquire coupon.","Impossible d'appliquer le bon."
"%s Coupon(s) have been generated","%s bons de réduction ont été générés"
"Alphabetical","Alphabétique"
"Alphanumeric","Alphanumérique"
"An error occurred while generating coupons. Please review the log and try again.","Erreur lors de la génération des bons de réduction. Vérifiez les logs et réessayez."
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?"
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Coupon Qty","Qté de bons de réduction"
"Coupons Information","Informations sur les bons de réduction"
"Created On","Créé le"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"Generate","Générer"
"If empty no separation.","Si vide, aucune séparation."
"If you select and save the rule you will be able to generate multiple coupon codes.","Si vous sélectionnez et enregistrez la règle, vous pourrez générer des codes de bons de réductions."
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Not valid data provided","Données fournies non valides"
"Numeric","Numérique"
"Rule is not defined","La règle n'est pas définie"
"Times Used","Nombre d'utilisations"
"Unable to create requested Coupon Qty. Please check settings and try again.","Impossible de créer la quantité demandée de bons de réduction. Veuillez vérifier les paramètres et réessayer."
"Use Auto Generation","Utiliser la génération automatique"
"Used","Utilisé"
"Website","Site web"
"Websites","Sites web"
"Set Product as New from Date","Nouveauté depuis le"
"Set Product as New to Date","Nouveauté jusqu'au"
"Country of Manufacture","Pays de fabrication"
"Group Price","Prix par groupe clients"
"Cost","Coût"
"Tier Price","Prix par quantité"
"Special Price From Date","Prix spécial à partir du"
"Special Price To Date","Prix spécial jusqu'au"
"Is Product Available for Purchase with Google Checkout","Le produit est-il disponible à l'achat avec Google Checkout"
"Apply MAP","Appliquer un prix minimum affiché"
"Manufacturer's Suggested Retail Price","Prix au détail conseillé par le fabricant"
"Meta Title","Titre méta"
"Short Description","Description courte"
"Thumbnail","Miniature"
"Small Image","Petite image"
"Base Image","Image de base"
"Active From","Actif à partir du"
"Active To","Actif jusqu'au"
"Custom Layout Update","Mise à jour d'agencement personnalisé"
"Display Product Options In","Afficher les options de produits dans"
"Enable Recurring Profile","Activer le profil récurrent"
"Products with recurring profile participate in catalog as nominal items.","Les produits avec un profil récurrent participent dans le catalogue en tant qu'articles nominaux."
"Allow Gift Message","Autoriser le message cadeau"
"Recurring Payment Profile","Profil récurrent de paiement"
