"--Please Select--","--Votre choix--"
"Site Number (TPE)","Numéro de site (TPE)"
"Sort Order","Ordre de tri"
"Specify the URL of the primary backup payment server if different from default.","Spécifiez l'URL du serveur de paiement de secours s'il est différent de celui par défaut."
"Specify the URL of the primary payment server if different from default.","Spécifiez l'URL du serveur de paiement principal s'il est différent de celui par défaut."
"Specify the URL of the second backup payment server if different from default.","Spécifiez l'URL du second serveur de paiement de secours s'il est différent de celui par défaut."
"Specify the URL of the third backup payment server if different from default.","Spécifiez l'URL du troisième serveur de paiement de secours s'il est différent de celui par défaut."
"TCP Port","Port TCP"
"TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443).","Port TCP utilisé pour vérifier la disponibilité du serveur de paiement si l'indicateur de ping est activé (le port par défaut est 443)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","Texte sur la page intermédiaire"
"The URL of the Backup Payment Server","URL du serveur de paiement de secours"
"The URL of the Primary Backup Payment Server","URL du serveur primaire de paiement de secours"
"The URL of the Primary Payment Server","URL du serveur principal de paiement"
"The URL of the Second Backup Payment Server","URL du second serveur de paiement de secours"
"The URL of the Third Backup Payment Server","URL du troisième serveur de paiement de secours"
"The customer has returned from Paybox.","Le client est revenu de Paybox."
"The customer was redirected to Paybox","Le client a été redirigé vers Paybox"
"The customer was redirected to Paybox using 'command line' mode.","Le client a été redirigé vers Paybox par le mode 'ligne de commande'."
"The customer was refused by Paybox.","Le client a été refusé par Paybox."
"The customer was rejected by Paybox.","Le client a été rejeté par Paybox."
"The invoice has been created.","La facture a été créée."
"The order was canceled by the customer.","La commande a été annulée par le client."
"There are no orders.","Il n'y a pas de commande."
"There has been an error processing your payment.","Erreur lors du traitement de votre paiement."
"There has been an error processing your payment. Please try later or contact us for help.","Une erreur est survenue lors du traitement de votre paiement. Veuillez réessayer plus tard ou nous contacter pour obtenir de l'aide."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds).","Timeout (en secondes) pour la vérification de disponibilité du serveur principal de paiement de secours (10 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds).","Timeout (en secondes) pour la vérification de disponibilité du serveur principal de paiement (8 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds).","Timeout (en secondes) pour la vérification de disponibilité du second serveur de paiement de secours (20 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds).","Timeout (en secondes) pour la vérification de disponibilité du troisième serveur de paiement de secours (20 secondes par défaut)."
"Timeout for Checking","Timeout de vérification"
"Title","Titre"
"VISA","VISA"
"What is this?","Aide ?"
"You will be redirected to Paybox in a few seconds.","Vous serez redirigé vers Paybox dans quelques secondes."
"You will be redirected to the Paybox website when you place an order.","Vous serez redirigé vers le site de Paybox à l'issue de votre commande."
