"and","et"
"Archive file name:","Nom du fichier d'archive :"
"Are you sure that you want to delete this template?","Êtes-vous sûr(e) de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip tags?","Êtes-vous sûr(e) de vouloir supprimer les tags ?"
"Attribute Set Name:","Nom du jeu d'attributs"
"Attributes","Attributs"
"Authors","Auteurs"
"Available Products","Produits disponibles"
"Big Image","Grande image"
"Billing Address","Adresse de facturation"
"Billing Agreement","Entente de facturation"
"Bundle Items","Articles packagés"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Un bundle avec un prix dynamique ne peut pas inclure d'options définies. Les options ne seront pas sauvegardées."
"CSV / Tab separated","CSV / séparé par des tabulations"
"Card Verification Number","Numéro de vérification"
"Catalog","Catalogue"
"Channel","Canal"
"Child Transactions","Transactions filles"
"Choose Store View","Choisir une vue magasin"
"Clear","Vider"
"Client Session Timeout (sec.)","Timeout de session de client (sec.)"
"Close","Fermer"
"Comments History","Historique de commentaires"
"Confirmed email:","Email confirmé :"
"Connect with the Magento Community","Connexion à la communauté de Magento"
"Contents","Contenu"
"Country:","Pays :"
"Created At","Créé le"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Memo History","Historique de l'avoir"
"Credit Memo Totals","Totaux de l'avoir"
"Current Configuration Scope:","Portée de la configuration courante :"
"Custom","Personnalisé"
"Customer","Client"
"Customer Group:","Groupe de clients :"
"Customer Since:","Client depuis le :"
"Customers","Clients"
"DHTML Date/Time Selector","Sélecteur de date/heure DHTML"
"Dashboard","Tableau de bord"
"Data Format","Format de données"
"Data transfer:","Transfert de données"
"Date selection:","Sélection de date :"
"Date selector","Sélecteur de date"
"Decimal separator:","Séparateur de décimales :"
"Default (Admin) Values","Valeurs par défaut (admin)"
"Default Billing Address","Adresse de facturation par défaut"
"Default Response Charset","Charset de réponse par défaut"
"Default Values","Valeurs par défaut"
"Delete","Supprimer"
"Direction:","Direction :"
"Display %s first","Afficher d'abord %s"
"Distributed under GNU LGPL. See %s for details.","Distribué sous licence GNU LGPL. Voir %s pour plus de détails."
"Drag to move","Glisser pour déplacer"
"Edit Role","Modifier le rôle"
"Edit User '%s'","Éditer l'utilisateur '%s'"
"Email","Email"
"Email Preview","Prévisualisation de l'email"
"Email:","Email :"
"Enclose Values In:","Entourer les valeurs avec :"
"Entity type:","Type d'entité :"
"Excl. Tax","HT"
"Expiration Date","Date d'expiration"
"Expiration Date: %s/%s","Date d'expiration : %s/%s"
"Export","Exporter"
"Export Filters","Filtres d'export"
"Export to:","Exporter vers :"
"Export:","Export :"
"Extension","Extension"
"Extensions","Extensions"
"FTP Host[:Port]","Hôte FTP [:Port]"
"Field Mapping","Mapping de champs"
"File Information","Informations du fichier"
"File name:","Nom du fichier :"
"Files","Fichiers"
"Final Price","Prix final"
"Finished profile execution.","Exécution du profil terminée."
"First Name:","Prénom :"
"For latest version visit: %s","Pour la visite de la dernière version : %s"
"From","De"
"General Information","Informations générales"
"General Settings","Paramètres généraux"
"Get help for this page","Obtenir de l'aide pour cette page"
"Global Record Search","Recherche globale"
"Go Today","Aller à aujourd'hui"
"Google Base Items","Articles Google Base"
"Group:","Groupe :"
"Help Us Keep Magento Healthy - Report All Bugs","Aidez-nous à améliorer Magento - Signalez tous les bugs"
"Ignore","Ignorer"
"Images","Images"
"Import","Importer"
"Import Service","Service d'importation"
"In Database:","Dans la base de données :"
"In File:","Dans le fichier :"
"Incl. Tax","TTC"
"Include","Inclure"
"Interactive","Interactif"
"Interface Locale: %s","Langue de l'interface : %s"
"Invalid webservice adapter specified.","L'adapter spécifié pour le webservice est invalide."
"Invalid webservice handler specified.","Le handler spécifié pour le webservice est invalide"
"Invoice History","Historique de la facture"
"Invoice Totals","Totaux de la facture"
"Is Closed","Est fermé"
"Issue Number","Numéro de problème"
"Issuer: %s","Problème : %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 5 Orders","5 dernières commandes"
"Last 5 Search Terms","5 derniers termes recherchés"
"Last Logged In (%s):","Dernière connection (%s) le :"
"Last Logged In:","Dernière connection le :"
"Last Name:","Nom :"
"Latest Message:","Dernier message :"
"Leave empty to use tax identifier","Laissez vide pour utiliser l'identifiant de TVA"
"Links with associated products will retain only after saving current product.","Les liens vers les produits associés ne seront conservés qu'après sauvegarde du produit actuel."
"Loading...","En cours de chargement..."
"Local Server","Serveur local"
"Local/Remote Server","Serveur local/distant"
"Log Out","Déconnexion"
"Logged in as %s","Connecté sous <strong>%s</strong>"
"MS Excel XML","XML MS Excel"
"Magento Core Api","API Core de Magento"
"Magento Core Api Section","Section de l'API Core de Magento"
"Magento Logo","Logo Magento"
"Magento ver. %s","Magento <strong>ver. %s</strong>"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento&trade; est une marque déposée de Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Assurez-vous que l'encodage du fichier est cohérent et correspond à l'un des encodages supportés (UTF-8 ou ANSI)."
"Manage Stores","Gestion des magasins"
"Max","Max"
"Min","Min"
"N/A","N/A"
"Name","Nom"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"Name:","Nom :"
"Next month (hold for menu)","Mois suivant (maintenez pour le menu)"
"Next page","Page suivante"
"Next year (hold for menu)","Année prochaine (maintenez pour le menu)"
"No","Non"
"No Data Found","Aucune donnée trouvée"
"No information available.","Aucune information disponible"
"No profile loaded...","Aucun profil chargé..."
"No search keywords.","Aucun mot clé de recherche."
"None","Aucun"
"Note:","Remarque :"
"Number of records:","Nombre d'enregistrements :"
"Old rate:","Ancien taux :"
"Only mapped fields","Champs mappés uniquement"
"Order ID","ID Commande"
"Order Totals","Totaux commande"
"Order cannot be placed.","Impossible de passer cette commande."
"Original Magento attribute names in first row:","Noms d'attribut d'origine dans la première ligne :"
"Package","Interface"
"Packages","Packages"
"Page","Page"
"Parent Transaction ID","ID de transaction principale"
"Passive mode","Mode passif"
"Password","Mot de passe"
"Path","Chemin"
"Path:","Chemin :"
"Personal Information","Informations personnelles"
"Phone:","Téléphone :"
"Please Select","Veuillez sélectionner"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","Veuillez confirmer le changement de site. Toutes les données non sauvegardées seront perdues."
"Please continue with placing order.","Veuillez continuer et passer commande."
"Please enter 6 or more characters.","Veuillez saisir au moins 6 caractères."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple 100.00 €."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple prenom.nom@domaine.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide."
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789."
"Please enter a valid value from list","Choisissez une valeur valide dans la liste"
"Please enter a valid value, ex: 10,20,30","Saisissez une valeur valide, par ex : 10, 20, 30"
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 92100."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please make sure that your changes were saved before running the profile.","Vérifiez que vos modifications ont été sauvegardées avant de lancer le profil."
"Please make sure your passwords match.","Vérifiez que vos mots de passe concordent."
"Please select State/Province.","Veuillez choisir un état/province."
"Please select an option.","Sélectionnez une option"
"Please select one of the above options.","Veuillez choisir une des options ci-dessus."
"Please select one of the options.","Veuillez choisir une des options."
"Please use in this field only ""a-z,0-9,_"".","Ce champ n'accepte que les caractères ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Veuillez utiliser uniquement des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser ce format de date : jj/mm/aaaa. Par exemple, 21/12/2012 pour le 21 Décembre 2012."
"Please wait while the indexes are being refreshed.","Veuillez patienter pendant le rafraîchissement des indexes."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Prev. month (hold for menu)","Mois précédent (maintenez pour le menu)"
"Prev. year (hold for menu)","Année précédente (maintenez pour le menu)"
"Preview","Prévisualiser"
"Previous page","Page précédente"
"Price","Prix"
"Price:","Prix :"
"Product","Produit"
"Products","Produits"
"Profile Information","Informations sur le profil"
"Qty","Qté"
"Read details","Lire les détails"
"Reference ID","Réference ID"
"Remote FTP","FTP distant"
"Remove","Supprimer"
"Resource Access","Accès aux ressources"
"Resources","Ressources"
"Role Users","Utilisateurs ayant ce rôle"
"Roles","Rôles"
"Roles Resources","Ressources des rôles"
"SKU","Réf."
"SKU:","Réf. :"
"Select All","Sélectionner tout"
"Select Date","Sélectionner une date"
"Select Range","Sélectionnez une tranche"
"Select Visible","Sélectionner les éléments visibles"
"Select date","Sélectionner la date"
"Shipment Comments","Commentaires de livraison"
"Shipment History","Historique de livraison"
"Shipping Address","Adresse de livraison"
"Shipping address selection is not applicable","L'adresse de livraison sélectionnée n'est pas applicable"
"Shipping method selection is not applicable","Le mode de livraison sélectionné n'est pas applicable"
"Show By","Afficher par"
"Show Report For","Afficher le rapport pour"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Certains articles dans cette commande ont des types de livraison et de facturation différents. Vous ne pouvez créer une livraison qu'après avoir créé une facture."
"Sort Order","Ordre de tri"
"Spreadsheet Name:","Nom de la feuille de calcul :"
"Start Date","Date de début"
"Start/Reset Validation...","Démarrer/Ré-initialiser la validation..."
"Starting profile execution, please wait...","Démarrage de l'exécution du profil, veuillez patienter..."
"State/Province:","État/région :"
"Status","Statut"
"Status:","Statut :"
"Stock Quantity:","Quantité en stock :"
"Store:","Magasin :"
"Switch/Solo card issue number: %s","Numéro de problème de carte Switch/Solo : %s"
"Switch/Solo card start Date: %s/%s","Date de début de carte Switch/Solo : %s/%s"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) seulement"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Numéro de problème de carte Switch/Solo/Maestro(UK Domestic) : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Date de début de carte Switch/Solo/Maestro(UK Domestic) : %s/%s"
"Target","Cible"
"The card has failed verification with the issuer bank.","La vérification de la carte a échoué auprès de la banque."
"The information in this tab has been changed.","Les informations contenues dans cet onglet ont été changées."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Des informations de paiement erronées ont été soumises ou la limite de temps a été atteinte. Veuillez réessayer."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"This is a required field.","Ce champ est obligatoire."
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données non valides. Veuillez résoudre le problème avant de sauvegarder."
"Thumbnail","Miniature"
"Time selection:","Sélection de l'heure :"
"Time:","Heure :"
"To","À"
"Top 5 Search Terms","5 termes les plus recherchés"
"Total %d records found","%d enregistrement(s) trouvé(s)"
"Track Order","Suivre la commande"
"Track this shipment","Suivre cette livraison"
"Transaction Data","Données de transaction"
"Transaction Details","Détail de la transaction"
"Transaction ID","ID Transaction"
"Transaction Type","Type de transaction"
"Type","Type"
"Type:","Type :"
"Unable to login.","Impossible de se connecter."
"Unselect All","Désélectionner tout"
"Unselect Visible","Désélectionner les éléments visibles"
"Updated At","Mise à jour à"
"Use Default Value","Utiliser la valeur par défaut"
"User","Utilisateur"
"User Name","Nom d'utilisateur"
"User Roles","Rôles utilisateurs"
"User name","Nom d'utilisateur"
"Users","Utilisateurs"
"Value Delimiter:","Délimiteur de valeurs :"
"Verification Failed","Échec de la vérification"
"Verification Successful","Vérification réussie !"
"Verification cannot be processed","La vérification ne peut pas aboutir."
"View","Voir"
"View Statistics For","Voir les statistiques pour"
"Visibility:","Visibilité :"
"Warning! Empty value can cause problems with CSV format.","Attention ! Les valeurs vides peuvent poser problème avec le format CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attention !\r\nCette action supprimera cet utilisateur des rôles déjà assignés.\r\nÊtes-vous sûr(e) ?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attention !\r\nCette action supprimera ces utilisateurs des rôles déjà assignés.\r\nÊtes-vous sûr(e) ?"
"Warning: Please do not close the window during importing/exporting data","Attention : ne fermez pas la fenêtre pendant l'import/export de données."
"We detected that your JavaScript seem to be disabled.","Il semblerait que la prise en charge de JavaScript par votre navigateur soit désactivée."
"Web Services","Services web"
"What is this?","Aide ?"
"Yes","Oui"
"You have","Vous avez"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Javascript doit être activé dans votre navigateur pour utiliser toutes les fonctionnalités de ce site."
"Your account has been deactivated.","Votre compte a été désactivé."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Les paramètres de votre serveur PHP ne vous autorisent pas à uploader des fichiers de plus de %s à la fois. Modifiez les valeurs de post_max_size (valeur actuelle %s) et upload_max_filesize (valeur actuelle %s) dans php.ini si vous voulez pouvoir uploader des fichiers plus gros."
"Zip/Postal Code:","Code postal :"
"critical","critique"
"images/logo.gif","images/logo.gif"
"items selected","élément(s) sélectionné(s)"
"major","majeur"
"minor","mineur"
"notice","annonce"
"of %s pages","sur %s pages"
"per page","par page"
"to","à"
"note that the URLs provided below are the correct values for your current website):"," les URLs fournies ci-dessous sont les valeurs correctes pour votre site web actuel) :"
"(\t for tab)","(\t pour une tabulation)"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"Activate","Activez"
"Add More Templates","Ajouter des gabarits"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"AirMail Template Preview","Prévisualisation du gabarit de AirMail"
"Apply Theme","Appliquer le thème"
"As low as:","Prix spécial :"
"Back","Retour"
"Cancel URL:","URL d'annulation :"
"Carrier","Transporteur"
"Chairs","Chaises"
"Change Orientation","Changer l'orientation"
"Choose a selection...","Choisissez une sélection"
"Continue","Continuer"
"Credit Card %s","Carte de crédit %s"
"Custom Colors","Couleurs personnalisées"
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Ne pas activer les options AVS ou CSC. Ces options ne fonctionnent pas en mode Payflow Link Silent."
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Dans le bloc d'informations de facturation et de livraison de votre compte Payflow, ne rendez éditable aucun champ."
"Edit Filter","Éditer le filtre"
"Enable Secure Token:","Éditer le jeton de sécurité :"
"Entity Attributes","Attributs d'entité"
"Export FAQ","FAQ d'export"
"FILTERS APPLIED","FILTRES APPLIQUÉS"
"Go to messages inbox","Aller à la boîte de réception"
"Go to notifications","Voir les notifications"
"Home","Accueil"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Si votre instance Magento est utilisée pour plusieurs sites web, vous devez configurer un compte Payflow Link pour chaque site web."
"Import / Export FAQ (Frequently Asked Questions)","Import / export de FAQ (Foire aux questions)"
"Import FAQ","Importer la FAQ"
"Important:","Important :"
"In Stock","En stock"
"Inactive Tabs","Onglets inactifs"
"Log In","Connexion"
"Main Tabs","Onglets principaux"
"Make Inactive","Rendre inactif"
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Assurez-vous d'avoir configuré le design pour le formulaire Payflow Link dans votre compte Payflow Link."
"More Tabs","Plus d'onglets"
"On my website","Sur mon site web"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Une fois connecté dans votre compte Payflow Link, allez dans le menu Paramétrages du service - Pages de commande hébergées - Configuration et renseignez les options décrites ci-dessous"
"Options menu items","Éléments du menu d'options"
"Out of stock","Épuisé"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirmez-vous le changement de site ? Toutes les données non sauvegardées seront perdues."
"Please enter another credit card number to complete your purchase.","Veuillez saisir un autre numéro de carte bancaire afin de poursuivre votre commande."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules."
"Preset Theme","Thème pré-configuré"
"Product Name3","Product Name3"
"Product Name3 1","Product Name3 1"
"Product Name3 2","Product Name3 2"
"Qty:","Qté :"
"Regular Price:","Prix normal :"
"Required settings","Paramètres obligatoires"
"Reset","Réinitialiser"
"Reset Successful","Réinitialisation effectuée"
"Return URL:","URL de retour :"
"SORT BY:","TRIER PAR :"
"Save Theme","Enregistrer le thème"
"Screens:","Écrans :"
"Select Template","Sélectionner le gabarit"
"Show confirmation page:","Afficher la page de confirmation :"
"Silent Post URL:","URL de soumission silencieuse (Silent Post) :"
"Some other FAQ","Autre FAQ"
"Special Price:","Prix spécial :"
"Synchronization is required.","La synchronisation est obligatoire."
"System busy","Le système est occupé"
"T-Shirts","Tee-shirts"
"Tell a Friend","En parler à un ami"
"Template Name","Nom du gabarit"
"Theme has been saved.","Le thème a été enregistré."
"Title bar","Barre de titre"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Pour annuler les autorisations en cours et libérer les montants déjà prélevés pendant ce processus, cliquez sur Annuler."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Pour utiliser Payflow Link, vous devez configurer votre compte Payflow Link sur le site de PayPal."
"Try Magento Go for Free","Testez gratuitement Magento Go"
"Unknown Error","Erreur inconnue"
"Unknown Error.","Erreur inconnue."
"Update Preview","Mettre à jour la prévisualisation"
"Use Silent Post:","Utiliser la soumission silencieuce (Silent Post) :"
"Validation Results","Résultat de validation"
"View Details","Voir les détails"
"View Gallery","Voir la galerie"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Attention !\r\nCette action supprimera cet utilisateur des rôles déjà assignés.\r\nÊtes-vous sûr(e) ?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Attention !\r\nCette action supprimera ces utilisateurs des rôles déjà assignés.\r\nÊtes-vous sûr(e) ?"
"You have %s unread message(s).","Vous avez %s message(s) non lu(s)."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Pour le type ""Serveur local"", il est nécessaire d'utiliser un chemin relatif vers les répertoires d'installation var/export ou var/import. Par exemple, var/export, var/import, var/export/vers/dossier, var/import/vers/dossier)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclut plus de pays que ceux de la liste ci-dessous. En tant que propriétaire de l'application, vous êtes responsable de vous conformer aux lois spécifiques au pays en relation avec la vente ou la distribution de votre application dans ce pays, y compris dans votre pays de résidence.)"
"ASCII","ASCII"
"All locations","Tous les lieux"
"Are you sure you want to delete this theme? This change will affect all applications.","Êtes-vous sûr(e) de vouloir supprimer ce thème ? Ce changement prendra effet sur toutes les applications."
"BINARY","BINAIRE"
"Cancel","Annuler"
"Delete theme","Supprimer le thème"
"Deselect All","Tout désélectionner"
"File mode","Mode de fichier"
"Loading Preview...","Prévisualisation en cours de chargement..."
"Magento Core API","API Core de Magento"
"Magento Core API Section","Section de l'API Core de Magento"
"Only custom theme can be deleted","Seuls les thèmes personnalisés peuvent être supprimés"
"Only default theme can be reset","Seul le thème par défaut peut être réinitialisé"
"Reset theme to default","Réinitialiser le thème par défaut"
"Save","Sauvegarder"
"Save As","Sauvegarder sous"
"Theme configurations are successfully reset.","Les configurations du thème ont bien été réinitialisées."
"Theme label can't be empty","L'étiquette du thème ne peut pas être vide."
"Theme label:","Étiquette du thème :"
"WS-I Compliance","Compatibilité WS-I"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Attention !\r\nCette action supprimera"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","jj"
"Can not find webservice adapter.","Impossible de trouver l'adapteur de web service."
"Enable WSDL Cache","Activer le cache WSDL"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rôles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilisateurs"
