"Action","Acción"
"Queue Start","Inicio de la cola de tareas"
"Please enter a valid email address","Introduce un correo electrónico correcto"
"Guest","Invitado"
"Invalid queue selected","La cola de tareas seleccionada es inválida"
"Confirmation request has been sent","La solicitud de confirmación ha sido enviada"
"The subscription was successfully saved","La subscripción fue guardada con éxito"
"Selected problems successfully deleted","Los problemas seleccionados fueron borrados con éxito"
"Message","Mensaje"
"Not activated","No activado"
"Not Sent","No enviado"
"No Templates Found","No se encontraron plantillas"
"No problems found","No se encontraron problemas"
"Cannot delete subscriber","No se puede borrar al subscriptor"
"Cannot delete template","No se puede borrar la plantilla"
"Cannot save your subscription: %s","No se puede guardar su subscripción: %s"
"Cannot mark as received subscriber","No se puede marcar como recibido"
"No subscribers selected","No se seleccionaron subscriptores"
"Template Name","Nombre de la  plantilla"
"Customer Firstname","Nombre del cliente"
"Sender Name","Nombre del remitente"
"New Template","Nueva plantilla"
"New Newsletter Template","Nueva plantilla para el Boletín de noticias"
"Sending Options","Opciones de envio"
"Subscription Options","Opciones de subscripción"
"Pause","Pausa"
"Paused","Pausado"
"Unsubscription Email Template","Plantilla de correo electrónico de cancelación de subscripción"
"Success Email Template","Plantilla de correo para operación exitosa"
"Confirmation Email Template","Plantilla del correo electrónico de confirmación"
"Newsletter Templates","Plantillas del Boletín de noticias"
"Please enter new template name","Por favor ingrese un nuevo nombre de plantilla"
"Please select subscriber(s)","Por favor seleccione subscripto(s)"
"Processed","Procesado"
"Recipients","Recipientes"
"Reset","Reiniciar"
"Sender","Remitente"
"Unsubscription Email Sender","Remitente de correo electrónico de cancelación de subscripción"
"Success Email Sender","Remitente de correo para operación exitosa"
"Confirmation Email Sender","Remitente del correo electrónico de confirmación"
"Newsletter Section","Sección"
"Set Return-Path","Set Return-Path"
"Website","Sitio Web"
"Your subscription was successfully confirmed","Su subscripción fue confirmada con éxito"
"Subscribed","Subscribirse"
"Subscribe","Subscribirse"
"Sign up for our newsletter:","Subscribirse al boletín de noticias"
"Newsletter Subscription","Subscripción a la lista de correo"
"Subscriber","Subscriptor"
"Subscribers","Subscriptores"
"Sign me up","Suscribirme"
"Newsletter Sign-up","Suscripción al Boletín de Noticias"
"Newsletter subscription success","Suscripción exitosa al Boletín de noticias"
"Newsletter Subscriptions","Suscripciones al boletín de noticias"
"Subscribers From","Suscriptores desde"
"Newsletter Subscribers","Suscriptos al Boletín de noticias"
"Queue Finish","Tareas finalizadas"
"Error Text","Texto del error"
"Store","Tienda"
"Type","Tipo"
"Template Type","Tipo de plantilla"
"View Newsletter","Ver el Boletín de noticias"
"Store View","Vista de la tienda"
"Preview","Vista previa"
"Preview Template","Vista previa de la plantilla"
"Newsletter Message Preview","Vista previa del Boletín de noticias"
"Back","Volver atrás"
