"* Required Fields","* Campos requeridos"
"Set as Default Shipping Address","Configurar como dirección de envío por defecto"
"Set as Default Billing Address","Configurar como dirección de facturación por defecto"
"Confirmed","Confirmado"
"Confirm Password","Confirmar la contraseña"
"Confirm New Password","Confirmar la nueva contraseña"
"Invalid attribute set specified, skipping the record","Conjunto de atributo inválido, se omite el registro"
"Continue Shopping","Continuar comprando"
"Password","Contraseña"
"Current Password","Contraseña actual"
"Welcome Email","Correo de bienvenida"
"Default Welcome Email","Correo de bienvenida por defecto"
"Require Emails Confirmation","Correo de confirmación requerido"
"Email","Correo electrónico"
"Invalid email address ""%s""","Correo electrónico ""%s"" erróneo"
"Wrong email.","Correo electrónico erroneo"
"Missing email, skipping the record","Correo electrónico perdido, se omite el registro"
"Create","Crear"
"Create customer","Crear cliente"
"Create customer address","Crear dirección cliente"
"Create New Account Options","Crear nuevas opciones para las cuentas"
"Create Order","Crear un Pedido"
"Create an Account","Crear una cuenta"
"Create New Customer Account","Crear una nueva cuenta de cliente"
"CSV","CSV"
"Wrong customer account specified.","Cuenta del cliente erronea"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Days in Wishlist","Días en la lista de artículos de interés"
"DD","DD"
"Offline","Desconectado"
"Unknown","Desconocido"
"User description","Descripción del usuario"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde Mi Cuenta usted puede ver un resumen de sus actividades recientes y actualizar la información de su cuenta. Seleccione un enlace inferior para ver o editar información."
"Disabled","Deshabilitado"
"Details","Detalles"
"Paused","Detenido"
"Refunded","Devuelto"
"Day","Dia"
"Street Address ","Dirección"
"Address","Dirección"
"IP Address","Dirección  IP"
"Email Address","Dirección de correo electrónico"
"Default Shipping Address","Dirección de envío por defecto"
"Primary Shipping Address","Dirección de envío principal"
"Default Billing Address","Dirección de facturación por defecto"
"Primary Billing Address","Dirección de facturación principal"
"Addresses","Direcciones"
"Customer Addresses","Direcciones del cliente"
"Default Addresses","Direcciones por defecto"
"Default Email Domain","Dominio de correo electrónico por defecto"
"Edit","Editar"
"Edit Account Info","Editar cuenta"
"Edit Group","Editar el grupo"
"Edit Customer Group ""%s""","Editar el grupo de clientes ""%s"""
"Edit Address Entry","Editar la dirección"
"Edit Address","Editar la dirección"
"Edit Account Information","Editar la información de la cuenta"
"Edit Personal Information","Editar la información personal"
"Edit Newsletter Subscription","Editar la suscripción al boletín de noticias"
"Edit Customer's Address","Editar las direcciones de los clientes"
"Edit Newsletters","Editar los boletines de noticias"
"Edit Customer Groups","Editar los grupos de clientes"
"Your account balance is: %s","El balance de su cuenta es: %s"
"Password fields can't be empty.","El campo password no puede estar vacio"
"Customer doesn't have primary billing address","El cliente no posee una dirección de facturación principal"
"Customer email already exists","El correo electrónico del cliente ya existe"
"Group ""%s"" can not be deleted","El grupo ""%s"" no puede ser borrado"
"Customer Group was successfully deleted","El grupo de clientes fue borrado con éxito"
"Customer Group was successfully saved","El grupo de clientes fue guardado con éxito"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar dirección del cliente"
"Confirmation Link Email","Enlace de correo electrónico de confirmación"
"Additional Address Entries","Entradas adicionales de domicilio"
"Sent","Enviado"
"Shipped to Last Name","Enviado a apellido"
"Shipped to Name","Enviado a nombre de"
"Sending","Enviando"
"Submit","Enviar"
"Ship to Last name","Enviar a apellido"
"Ship to First name","Enviar a nombre"
"Send auto-generated password","Enviar contraseña autogenerada"
"Send Welcome Email after Confirmation","Enviar correo de bienvenida después de la confirmación"
"Send confirmation link","Enviar correo de confirmación"
"Send welcome email","Enviar correo electrónico de bienvenida"
"Shipped to First Name","Envidado a nombre"
"Error during retrieval of option value: %s","Error durante la recuperación del valor de la opción: %s"
"This account is not confirmed.","Esta cuenta no está confirmada"
"This email address was not found in our records","Esta dirección de correo electrónico no fue encontrada en los registros"
"This is My Primary %s Address","Esta es mi principal %s dirección"
"Sales Statistics","Estadísticas de venta"
"Status","Estado"
"State/Province","Estado / Provincia"
"Are you sure?","Está seguro?"
"This customer has no saved addresses.","Este cliente no guardó sus direcciones"
"This e-mail does not require confirmation.","Este correo no requiere confirmación"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este correo será enviado después del correo de bienvenida, después de la confirmación de la cuenta"
"Product Tags","Etiquetas del producto"
"Fax","Fax"
"Date","Fecha"
"Date Added","Fecha agregada"
"Date of Birth","Fecha nacimiento"
"Newsletter Finish","Final del boletín de noticias"
"Password Management","Gestión de la contraseña"
"Manage Customers","Gestionar clientes"
"Manage Addresses","Gestionar direcciones"
"Global","Global"
"Thank you for registering with %s","Gracias por registrarse con %s"
"Group","Grupo"
"Customer Group","Grupo del cliente"
"Default Group","Grupo por defecto"
"Customer Groups","Grupos de clientes"
"Saved ","Guardado"
"Save","Guardar"
"Save Customer","Guardar cliente"
"Save Password","Guardar contraseña"
"Save Address","Guardar dirección"
"Save Customer Group","Guardar grupo de cliente"
"Save And Continue Edit","Guardar y continuar editando"
"You're now Logged Out","Ha cerrado su sesión correctamente"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ha salido con éxito del sistema y será redirigido a nuestra página de inicio en 5 segundos."
"Hello, %s!","Hola, %s!"
"Session Start Time","Hora de inicio de la sesión"
"HTML","HTML"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al guardar la colección. Cancelando. Error: %s"
"ID","ID"
"Invalid option id specified for %s (%s), skipping the record","ID de opción inválida para %s (%s), se omite el registro"
"Product ID","ID de producto"
"Wrong region id by selected country","ID de región incorrecto para el país seleccionado"
"Amount","Importe"
"Grand Total","Importe total"
"Grand Total: %s","Importe total: %s"
"Log in or Create an Account","Indentificarse o crear cuenta"
"Contact Information","Información de contacto"
"Login Information","Información de Inicio de sesión"
"Account Information","Información de la cuenta"
"Address Information","Información de la dirección"
"Billing Information","Información de la facturación"
"Newsletter Information","Información del boletín de noticias"
"Customer Information","Información del cliente"
"Shipping Information","Información del envío"
"Group Information","Información del grupo"
"Personal Information","Información personal"
"Login","Iniciar sesión"
"Log In","Iniciar sesión"
"Login or Create an Account","Inicie sesión o cree una cuenta"
"Newsletter Start","Inicio del boletín de noticias"
"Please enter your email below and we'll send you confirmation link for it.","Introduce su correo electrónico y se enviará un correo con el link de confirmación"
"Please enter your email below and we'll send you a new password.","Introduzca su correo electrónico a continuación y le enviaremos una nueva contraseña."
"Please enter your email below and we'll send you a new password.","Introduzca su correo electrónico a continuación y le enviaremos una nueva contraseña."
"Guest","Invitado"
"Go to Address Book","Ir a la libreta de direcciones"
"Failed to confirm customer account.","La confirmación de la cuenta del cliente ha fallado"
"Invalid current password","La contraseña actual es inválida"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener 6 caracteres como mínimo. Los espacios en blanco serán ignorados."
"Invalid email address","La dirección de correo electrónico es inválida"
"The address was successfully deleted","La dirección fue borrada con éxito"
"The address was successfully saved","La dirección fue guardada con éxito"
"The address does not belong to this customer","La dirección no pertenece a este cliente"
"Date of Birth is required.","La fecha de nacimiento es necesario"
"Account information was successfully saved","La información de la cuenta se grabó con éxito"
"New account confirmed","La nueva cuenta ha sido confirmada correctamente"
"Password minimal length must be more %s","La password ha de contener como mínimo %s carácteres"
"Password can't be empty","La password no puede estar vacio"
"Address Book","Libreta de direcciones"
"Wishlist","Lista de artículos de interés"
"Wishlist - %d item(s)","Lista de artículos de interés - %d artículo(s)"
"Order List...","Lista de Pedidos..."
"Last name can't be empty","Los apellidos no pueden estar vacios"
"Invalid customer data","Los datos del cliente son inválidos"
"M.I.","M.I."
"Shipping Method","Método de envío"
"Payment Method","Método de pago"
"Month","Mes"
"My Account Dashboard","Mi cuenta"
"My Account","Mi cuenta"
"My Dashboard","Mi panel de control"
"Online Minutes Interval","Minutos online"
"My Wishlist","Mis artículos de interé;s"
"My Tags","Mis etiquetas"
"My Reviews","Mis opiniones"
"My Orders","Mis Pedidos"
"MM","MM"
"Show middle name (initial)","Mostrar apellidos (inicial)"
"Show date of birth","Mostrar fecha de aniversario"
"Show Tax/VAT number","Mostrar número de impuestos"
"Show prefix","Mostrar prefijo"
"Show suffix","Mostrar sufijo"
"n/a","n/d"
"Tax/VAT number","Número de impuestos"
"TAX/VAT number is required.","Número de impuestos requerido"
"Number of lines in a street address ","Número de línias en la dirección"
"You have not set a primary shipping address.","No ha indicado una dirección de envío principal."
"You have not set a primary billing address.","No ha indicado una dirección de facturación principal."
"There are no items in customer's shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No puede compartir las cuentas de los clientes globales. Debido a que algunas cuentas de clientes con los mismos mensajes de correo electrónico existentes en varios sitios web y no se pueden combinar."
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines de noticias"
"No product collections found","No se encontraron colecciones de productos"
"Not Sent","No se envió"
"Not confirmed, can login","No se ha confirmado, debe identificarse"
"Not confirmed, cannot login","No se ha confirmado, no puede identificarse"
"No item specified.","No se ha especificado ningún item"
"Can't save customer","No se puede guardar el cliente"
"Can't save address","No se puede guardar la dirección"
"You have no additional address entries in your address book.","No tiene direcciones adicionales en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en su libreta de direcciones."
"You have no primary entries in your address book.","No tiene entradas principales en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene una dirección de envío por defecto en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene una dirección de facturación por defecto en su libreta de direcciones."
"Name","Nombre"
"First Name","Nombre"
"Bill to Name","Nombre de la cuenta"
"Tag Name","Nombre de la etiqueta"
"Group Name","Nombre del grupo"
"Product name","Nombre del producto"
"Product Name","Nombre del producto"
"Missing firstname, skipping the record","Nombre perdido, se omite el registro"
"New Password","Nueva Contraseña"
"New account","Nueva cuenta"
"New Address","Nueva Dirección"
"New Customer Address","Nueva dirección del cliente"
"New Address Entry","Nueva entrada de dirección"
"New password","Nueva password"
"New Customer","Nuevo cliente"
"New Group","Nuevo grupo"
"New Customer Group","Nuevo grupo de clientes"
"New Customers","Nuevos clientes"
"New Customer Groups","Nuevos grupos de clientes"
"Never","Nunca"
"or","o"
"Forgot Your Password?","Olvidó su contraseña?"
"Skip import row, website ""%s"" field not exists","Omitir la fila de importación. El campo del sitio web ""%s"" no existe."
"Skip import row, required field ""%s"" not defined","Omitir la fila de importación. El campo requerido ""%s"" no está definido."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo inválida para el atributo  %s (%s), se omite el registro"
"Password Options","Opciones de la contraseña"
"Prefix dropdown options","Opciones desplegables del prefijo"
"Suffix dropdown options","Opciones desplegables del sufijo"
"Name and Address Options","Opciones nombre y dirección"
"Online Customers Options","Opciones online del cliente"
"Account Sharing Options","Opciones para compartir la cuenta"
"Country","País"
"Wrong confirmation key.","Palabra clave de confirmación erronea"
"New account confirmation key","Palabra clave nueva cuenta de confirmación"
"Account Dashboard","Panel de Control"
"PDF","PDF"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Items Order","Pedido de artículos"
"Orders","Pedidos"
"Recent Orders","Pedidos recientes"
"Pending","Pendiente"
"Forgot Email Template","Plantilla para recordatorio de correo electrónico"
"Leave empty for default (2). Valid range: 1-4","Por defecto dejar en blanco  (2). Rango válido: 1-4"
"Leave empty for default (15 minutes).","Por defecto dejar en blanco (15 minutos)"
"There are no items in customer's wishlist at the moment","Por el momento no hay artículos en la lista de artículos de interés del cliente"
"Please select","Por favor seleccione"
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please, check your e-mail for confirmation key.","Por favor, consulte su correo para valida la palabra clave"
"Please enter your email.","Por favor, ingrese su dirección de correo electrónico."
"Please select region, state or province","Por favor, seleccione una región, estado o provincia"
"Per Website","Por sitio web"
"Price","Precio"
"Ext. Price","Precio Ext."
"Prefix","Prefijo"
"Product","Producto"
"Average Sale","Promedio de ventas"
"Remove","Quitar"
"Password forgotten","Recordatorio de password"
"Retrieve customers","Recuperar clientes"
"Retrieve address data","Recuperar datos de dirección"
"Retrieve address info","Recuperar dirección"
"Retrieve customer addresses","Recuperar dirección del cliente"
"Retrieve customers info","Recuperar información del cliente"
"Retrieve customer data","Recuperar los datos de los clientes"
"Retrieve customer's groups","Recuperar los grupos de clientes"
"Retrieve your confirmation link here","Recuperar su vinculo de confirmación"
"Retrieve your password here","Recupere su contraseña aquí"
"Records for ""","Registros para """
"First name can't be empty","Rellene el campo nombre"
"Email Sender","Remitente de correo electrónico"
"Forgot Email Sender","Remitente para recordatorio de correo electrónico"
"Customers Only","Sólo clientes"
"Visitors Only","Sólo visitantes"
"A new password was sent","Se envió una nueva contraseña"
"Customer collection expected","Se esperaba colección de Cliente"
"Array of Entity collections is expected","Se esperaba una cadena de colecciones de entidad"
"Entity collection is expected","Se esperaba una colección de Entidad"
"There was an error while deleting the address","Se produjo un error al borrar la dirección"
"Login and password are required","Se requieren la identificación y la contraseña"
"Subscribed to Newsletter?","Se suscribió al boletín de noticias?"
"Customers Section","Sección"
"Are you sure you want to delete this address?","Seguro que desea borrar esta dirección?"
"Are you sure you want to cancel adding of this address?","Seguro que desea cancelar el añadido de esta dirección?"
"Are you sure that you want to remove this item?","Seguro que desea quitar este artículo?"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"If you have an account with us, please log in.","Si tiene una cuenta con nosotros, por favor acceda con sus datos."
"Always optional","Siempre opcional"
"Website","Sitio web"
"Bad request.","Solicitud incorrecta"
"Newsletter Subscription","Subscripción al boletín de noticias"
"Suffix","Sufijo"
"The suffix that goes after name (Jr., Sr., etc.)","Sufijo que va después del nombre  (Jr., Sr., etc.)"
"Subscribe","Suscribirse"
"Subscribe to newsletter","Suscribirse al boletín de noticias"
"General Subscription","Suscripción general"
"The title that goes before name (Mr., Mrs., etc.)","Título antes del nombre (Mr., Mrs., etc.)"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto de una línea"
"Store","Tienda"
"Invalid store specified, skipping the record","Tienda inválida, se omite el registro"
"Deleted Stores","Tiendas borradas"
"Type","Tipo"
"Wrong transactional account email type.","Tipo de cuenta de correo erroneo"
"All Store Views","Todas las vistas de tienda"
"All","Todo"
"All countries","Todos los países"
"Total","Total"
"Order Total","Total del Pedido"
"Last Activity","Ultima actividad"
"Last date unsubscribed","Ultima fecha de desuscripción"
"Last date subscribed","Ultima fecha de suscripción"
"Last Url","Ultima URL"
"Last 5 Orders","Ultimos 5 Pedidos"
"Last Viewed Items","Ultimos artículos vistos"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as My Primary %s Address","Usar como mi principal %s dirección"
"Invalid login or password.","Usuario o password no correctos"
"View","Ver"
"View Order List","Ver lista de Pedidos"
"View Order","Ver Pedido"
"Visible In","Visible en"
"Visitor","Visitante"
"Customer View","Vista de cliente"
"Store View","Vista de tienda"
"Back to Login","Volver al Inicio de sesión"
"Back","Volver atrás"
"XML","XML"
"YYYY","YYYY"
