"1 Day Freight","1 día de flete"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","No"
" was not delivered nor scanned","no ha sido despachado ni escaneado"
"There is no available method for selected shipping address.","No hay ningún método disponible para la dirección de envío seleccionada."
"Non-rectangular","No rectangular"
"Cannot retrieve shipping rates","No se pudieron obtener las tarifas de envío"
"Standard Overnight","Nocturno standard"
"Sort order","Orden de clasificación"
"Origin of the shipment","Origen del envío"
"Parcel","Paquete"
"Package","Paquete"
"FedEx Pak","Paquete FedEx"
"Parcel Post","Paquete postal (encomienda)"
"Order","Pedido"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso máximo del paquete (por favor, consulte a su transporte para la carga máxima soportada)"
"Flat","Plana"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Please enter the package weight","Por favor, ingrese el peso de su paquete"
"Pounds","Pounds"
"First-Class","Primera Clase"
"International First","Primera internacional"
"Europe First Priority","Primera prioridad europea"
"First Overnight","Primero nocturno"
"International Priority","Prioridad Internacional"
"Priority Overnight","Prioridad nocturna"
"Receiver","Recibe"
"Regular Pickup","Recolección regular"
"Rectangular","Rectangular"
"Regular","Regular"
"Sender","Remitente"
"Residential","Residential"
"Residential Delivery","Residential Delivery"
"Empty response","Respuesta vacía"
"Round","Round"
"Express Saturday","Sábado Express"
"Yes","Sí"
"United Parcel Service","Servicio de empaque completo"
"Second Day Service","Servicio de segundo dia"
"Shipment Contains Hazardous Materials","Shipment Contains Hazardous Materials"
"Shipper Number","Shipper Number"
"FedEx Envelope","Sobre FedEx"
"Oversize","Sobrepeso"
"Request Courier","Solicitar Courier"
"Your Packaging","Su paquete"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal With Discount"
"Size","Tamaño"
"Handling fee","Tasa de embalaje y envío"
"Title","Título"
"Third Party","Terceras partes"
"Ground","Tierra"
"Destination type","Tipo de destino"
"Shipment type","Tipo de envío"
"Shipment Duty Payment Type","Tipo de pago del envío"
"Invalid UPS CGI code type: %s","Tipo inválido de código CGI de UPS: %s"
"Invalid DHL XML code type: %s","Tipo inválido de código XML de DHL: %s"
"Invalid FedEx XML code type: %s","Tipo inválido de código XML de FedEx: %s"
"Invalid USPS XML code type: %s","Tipo inválido de código XML de USPS: %s"
"UPS type","Tipo UPS"
"To lower","To lower"
"To upper","To upper"
"All Services","Todos los servicios"
"FedEx Tube","Tubo FedEx"
"Weight Unit","Unidad de peso"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Gateway URL","URL de la pasarela"
"Tracking XML URL","URL del XML de seguimiento"
"Gateway XML URL","URL XML de la pasarela"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"USPS","USPS"
"Variable","Variable"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"United Parcel Service XML","XML de United Parcel Service"
