"* Required Fields","* Verplicht"
"Notification sent to administrator (leave blank not to send)","Notificatie verstuurd naar administrator (laat leeg om niet te zenden)"
"Notification sent to customer (leave blank not to send)","Notificatie verstuurd naar klant (laat leeg om niet te zenden)"
"Notification sent to messages history (leave blank not to send)","Notificatie verstuurd naar berichten geschiedenis (laat leeg om niet te zenden)"
"Notify about RMA","Breng op de hoogte over RMA"
"Notify about RMA ","Breng op de hoogte over RMA"
"Notify about RMA #","Breng op de hoogte over RMA-aanvraag"
"Order","Bestelling"
"Order #","Bestelnummer"
"Order #%s - %s","Bestelling %s - %s"
"Order Date: %s","Bestelling Datum: %s"
"Order Details","Bestelling Details"
"Order ID","Bestelling-ID"
"Order ID and customer email didn't match each other","Bestelling-ID en klant-e-mail komen niet overeen."
"Order ID isn't specified","Bestelling-ID is niet gespecificeerd"
"Order Id","Bestelling-ID"
"Order Information","Informatie"
"Order:","Bestelling:"
"Package Opened","Verpakking geopend"
"Package Opened:","Verpakking geopend:"
"Package sent","Pakket verzonden"
"Payment Method","Betaalmethode"
"Pending Approval","In afwachting"
"Pending RMA","RMA in afwachting"
"Pending Requests","Aanvragen in afwachting"
"Please select order","Selecteer bestelling a.u.b."
"Please select region, state or province","Selecteer een regio, staat of provincie"
"Post tracking code","Tracking code"
"Print","Print"
"Print Label","Print Label"
"Print Label isn't allowed by admin","Print Label is niet toegestaan voor admin"
"Print Order","Print bestelling"
"Product Name","Product"
"Qty","Aantal"
"RMA","RMA"
"RMA Id isn't specified","RMA ID is niet gespecificeerd"
"RMA Information","RMA informatie"
"RMA Items","RMA producten"
"RMA Requests","RMA aanvragen"
"RMA department address","RMA afdeling-adres"
"RMA department display name","RMA afdeling-naam"
"RMA department email","RMA department e-mail"
"RMA id isn't specified","RMA Id isn't specified"
"RMA status has been successfully changed","RMA status is succesvol gewijzigd"
"RMA successfully saved","RMA succesvol opgeslagen"
"Refund","Terugbetalen"
"Reorder","Opnieuw bestellen"
"Replacement","Vervanging"
"Request Details","Details van RMA aanvraag"
"Request ID isn't specified","Aanvraag ID is niet gespecificeerd"
"Request Information","Informatie"
"Request New RMA","Nieuwe RMA aanvragen"
"Request Options","Opties van uw aanvraag"
"Request RMA","RMA aanvragen"
"Request Type","Type aanvraag"
"Request Type:","Type aanvraag:"
"Request should have at least one item","RMA aanvraag dient minimaal 1 product te betreffen"
"Request type","Type aanvraag"
"Resolve RMA after obtaining status","Los RMA op na behalen van status"
"Resolved (canceled)","Geannuleerd"
"Resolved (refunded)","Terugbetaald"
"Resolved (replaced)","Vervangen"
"Return Address","Terugzend adres"
"SKU","Artikelnummer"
"Save And Continue Edit","Opslaan en verder bewerken"
"Separeted by commas","Gescheiden bij komma"
"Set status to","Stel status in op"
"Shipping Address","Verzendadres"
"Shipping Method","Verzendmethode"
"Some error occurs when uploading file","Er zijn fouten opgetreden bij het uploaden van een bestand"
"Some error occurs. Please, try again to select order","Er zijn fouten opgetreden, probeer het nogmaals om een bestelling te selecteren."
"Sort","Sorteer"
"Sort Order","Sorteer volgorde"
"Sort value must be integer","Sorteer waarde moet een heel cijfer zijn"
"Specified order created later than","Gespecificeerde bestelling is later aangemaakt dan"
"State/Province","Provincie"
"Status","Status"
"Status Information","Statusinformatie"
"Status has been successfully saved","Status is succesvol opgeslagen"
"Status:","Status:"
"Store","Winkel"
"Store View","Winkelzicht"
"Street Address","Straat"
"Submit Comment","Opmerking"
"Submit Request","Aanvraag versturen"
"Subscribe to Order Status","Abonnemeren op de orderstatus"
"Telephone","Telefoon"
"This action can be called only via POST","Deze actie kan alleen via een POST aangeroepen worden"
"This action can be called only via post","Deze actie kan alleen via een POST aangeroepen worden"
"This order has been placed by registered customer. Please, authorize and request RMA via customer account.","Deze bestelling is geplaatst door een geregistreerde klant. Vraag een RMA aan via de Mijn Account sectie."
"Too many orders found. Check your request","Te veel bestellingen gevonden, controleer aanvraag."
"Type Information","Typeinformatie"
"Type has been successfully saved","Type is succesvol opgeslagen"
"View Request","Bekijk"
"Wrong form data","Verkeerde formulierdata"
"Wrong order ID","Verkeerd bestelling-ID"
"Wrong quantity for","Verkeerd aantal voor"
"Wrong request ID","Verkeerd aanvraag ID"
"Wrong request method","Verkeerde aanvraagmethode"
"Yes","Ja"
"You are not authorized to request RMA for specified order","U bent niet geautoriseerd om een RMA aan te vragen voor de gespecificeerde bestelling."
"You can't comment resolved RMA","U kunt geen reactie plaatsen op een opgeloste RMA aanvraag"
"You can't remove this status","U kunt deze status niet verwijderen"
"You can't request RMA for the given order","U kunt geen RMA aanvragen voor de gespecificeerde bestelling"
"You have no RMA requests","U heeft geen RMA aanvragen"
"You have no orders to request RMA","U heeft geen bestellingen om RMA voor aan te vragen"
"Your RMA is currently waiting for approval","Uw RMA is wacht op dit moment op akkoord"
"Your RMA successfully canceled","Uw RMA is succesvol geannuleerd"
"Zip/Postal Code","Postcode"
"start type order's id","Begin met typen "
