"%s %s","%s %s"
"* Required Fields","* Verplichte velden"
"Edit Newsletter Template","Bewerk nieuwsbrief sjabloon"
"Edit Queue","Bewerk wachtrij"
"Edit Rule '%s'","Bewerk regel '%s'"
"Edit Segment","Bewerk segment"
"Edit Smtp","Bewerk SMTP"
"Edit Subscriber","Bewerk abonnee"
"Edit Subscriber '%s'","Bewerk abonnee '%s'"
"Edit Template","Bewerk sjabloon"
"Email","E-mailadres"
"Email Address","E-mailadres"
"Email is empty","E-mail is leeg"
"Enabled","Ingeschakeld"
"Enables/disables auto-synchronization with MailChimp which happens each time a user subscribes/unsubscribes","Autosynchronisatie met MailChimp inschakelen. Gebeurt iedere keer dat een klant zich inschrijft of uitschrijft."
"Export Customers","Exporteren klantgegevens"
"Fields","Velden"
"First Name","Voornaam"
"First name","Voornaam"
"Form configuration","Formulier configuratie"
"Form display style","Weergave stijl configuratie"
"Frontend Visibility","Zichtbaarheid frontend"
"General","Algemeen"
"General Information","Algemene informatie"
"Group","Groep"
"Guest","Gast"
"ID","ID"
"If %s of these order conditions are %s","Als %s één van deze condities is: %s"
"Import Subscribers","Abonnees importeren"
"Import Templates","Sjablonen importeren"
"Imports subscribers from Magento newsletter to Advanced Newsletter","Importeer abonnees van Magento nieuwsbriefmodule naar Advanced Newsletter"
"Imports templates from Magento newsletter to Advanced Newsletter","Importeer templates van Magento nieuwsbriefmodule naar Advanced Newsletters"
"In block","In block"
"Inactive","Inactief"
"Invalid email","Ongeldig e-mailadres"
"Invalid template","Ongeldige template"
"Invalid test email","Ongeldige test e-mail"
"Item was successfully deleted","Item succesvol verwijderd"
"Item was successfully saved","Item succesvol opgeslagen"
"Last Name","Achternaam"
"Last name","Achternaam"
"List ID","Lijst-ID"
"Loading...","Laden ..."
"Login Information","Login informatie"
"MSS Rule","MSS Regel"
"MailChimp auto-sync","MailChimp autosynchronisatie"
"MailChimp auto-sync is disabled for store %s","MailChimp auto synchronisatie uitgeschakeld voor winkel %s"
"MailChimp configuration","MailChimp configuratie"
"MailChimp is disabled for store %s","MailChimp is uitgeschakeld voor winkel %s"
"MailChimp synchronization","MailChimp synchronisatie"
"Message (Read only)","Bericht (alleen lezen)"
"Multiselect","Multiselect"
"Name","Naam"
"New Newsletter Template","Nieuw sjabloon nieuwbrief"
"New Rule","Nieuwe regel"
"New Segment","Nieuw segment"
"New Smtp","Nieuw SMTP"
"New Subscriber","Nieuwe abonnee"
"New Template","Nieuw sjabloon"
"Newsletter","Nieuwsbrief"
"Newsletter Finish","Nieuwsbrief afronden"
"Newsletter Message Preview","Nieuwsbrief proefweergave"
"Newsletter Queue","Nieuwsbrief wachtrij"
"Newsletter Received","Nieuwsbrief ontvangen"
"Newsletter Start","Nieuwsbrief start"
"Newsletter Subscription","Nieuwsbrief abonnement"
"Newsletters","Nieuwsbrieven"
"No","Nee"
"No Newsletter Found","Geen nieuwsbrieven gevonden"
"No Templates Found","Geen sjablonen gevonden"
"None","Geen"
"Not Activated","Niet geactiveerd"
"Not Sent","Niet verstuurd"
"Note that this field's text  is case-sensitive<br /> and must exactly correspond to the MailChimp text","Let er op dat de tekst van deze veld hoofdletter-gevoelig is en precies overeen moet komen met MailChimp tekst"
"Opens new window with synchronization options","Opent scherm met instellingen voor synchronisatie"
"Order status","Status van bestelling"
"Password","Wachtwoord"
"Pause","Pauze"
"Paused","Gepauseerd"
"Personal Information","Persoonlijke informatie"
"Phone","Telefoon"
"Please enter new template name","Voeg nieuwe e-mail template toe"
"Please select customer(s)","Selecteer klanten"
"Please select item(s)","Selecteer items"
"Please select region, state or province","Selecteer plaats of provincie"
"Please select subscriber(s)","Selecteer abonnees"
"Please, register to subscribe","Registratie is nodig om te kunnen aanmelden"
"Port","Overzetten"
"Preview","Voorvertoning"
"Preview Template","Voorvertoning sjabloon"
"Processed","Verwerkt"
"Queue Date Start","Wachtrij start datum"
"Queue Finish","Wachtrij afgerond"
"Queue Newsletter...","Nieuwsbrief wachtrij"
"Queue Start","Start wachtrij"
"Radio buttons","Radio buttons"
"Recipients","Ontvangers"
"Remove from","Verwijder van"
"Reset","Reset"
"Resume","Doorgaan"
"Return HTML Version","Terug naar HTML versie"
"Rule Information","Regelinformatie"
"Rule Title","Titel van regel"
"Rule was successfully deleted","Regel succesvol verwijderd"
"Rule was successfully saved","Regel succesvol opgeslagen"
"SMTP Configuration","SMTP configuratie"
"SMTP account","SMTP account"
"SMTP server","SMTP server"
"Salutation","Begroeting"
"Salutation 1","Begroeting 1"
"Salutation 2","Begroeting 2"
"Save And Continue Edit","Opslaan en doorgaan met bewerken"
"Save As","Opslaan als"
"Save Item","Item opslaan"
"Save Rule","Regel opslaan"
"Save Template","Sjabloon opslaan"
"Segment","Segment"
"Segment Code","Segment code"
"Segment Title","Segment titel"
"Segment code","Segment code"
"Segment code and title can not include ',<>' and _ at the code beginning. Spaces mustn't be used in segment code","Segment code en titel mogen niet ',<>' bevatten of _ aan het begin. Ook spaties mogen niet gebruikt worden inde segment code"
"Segment was successfully deleted","Segment is succesvol verwijderd"
"Segments","Segmenten"
"Segments Codes","Segmenet codes"
"Segments Management","Beheer segmentatie"
"Segments are not set","Segmenten niet ingesteld"
"Segments codes","Segment codes"
"Segments style","Segment stijl"
"Select","Selecteren"
"Select lists","Nieuwsbrief"
"Send Test","Verzend test"
"Send newsletter to customers according to the MSS rule","Verzend nieuwsbrief naar abonnees volgens de MSS regel"
"Sender","Afzender"
"Sender Email","Verstuurder e-mail"
"Sender Name","Segment naam"
"Sending","Verzenden"
"Sent","Verzend"
"Server name","Verzend server"
"Sign Up for Newsletter","Aanmelden voor de nieuwsbrief"
"Sorry, the subscription is not available from this page","Sorry, het abonnement is niet beschikbaar vanaf deze pagina"
"Start","Start"
"State/Province","Woonplaats"
"Status","Status"
"Store","Winkel"
"Store View","Winkelzicht"
"Store default","Standaard store"
"Street Address","Straatnaam"
"Street Address %s","Straatnaam %s"
"Subject","Onderwerp"
"Submit","Opslaan"
"Subscribe","Abonneer"
"Subscribe to segment","Abonneren op segment"
"Subscribed","Geabonneerd"
"Subscribed in store","Abonneren in store"
"Subscribers","Abonnee's"
"Subscribers From","Abonnee's van"
"Subscribers synchronization successfully completed","Synchronisatie van abonnee's succesvol"
"Subscriptions","Abonnementen"
"Successfully saved","Succesvol opgeslagen"
"Sync from MailChimp","Synchroniseren van MailChimp"
"Sync from MailChimp is processing","Synchroniseren met MailChimp in behandeling"
"Sync to MailChimp","Synchroniseren naar MailChimp"
"Sync to MailChimp is processing","Synchronisatie met MailChimp in behandeling"
"Synchronization From MailChimp","Synchroniseren van MailChimp"
"Synchronization To MailChimp","Synchroniseren naar MailChimp"
"Synchronization was queued","Synchronisatie in de wachtrij gezet"
"Synchronization with Magento newsletter","Synchronisatie met Magento Nieuwsbrief"
"Telephone","Telefoon"
"Template Content","Content sjabloon"
"Template Id","Sjabloon-ID"
"Template Information","Sjabloon informatie"
"Template Name","Sjabloon naam"
"Template Styles","Sjabloon stylen"
"Template Subject","Onderwerp sjabloon"
"Template Type","Soort sjabloon"
"Templates Management","Sjabloon beheer"
"Templates synchronization successfully completed","Synchronisatie sjablonen succesvol"
"Test email has been sent","Testbericht per e-mail verzonden"
"The email with activation code is send to your address","De e-mail met activatiecode is verzonden"
"This rule no longer exists","Deze regel bestaat niet langer"
"Title","Titel"
"Total of %d record(s) were successfully deleted","%d record(s) succesvol verwijderd"
"Type","Type"
"Unable to find a page to delete","Kon pagina om te verwijderen niet vinden"
"Unable to find item to save","Kon geen onderdelen vinden om op te slaan"
"Unknown","Onbekend"
"Unknown Store Id","Onbekend store id"
"Unsubscribe","Uitschrijven"
"Unsubscribe from segment","Uitgeschreven uit segment"
"Unsubscribed","Uitgeschreven"
"Update status","Wijzigen"
"Use SSL","Gebruik SSL"
"Use TLS","Gebruik TLS"
"Use ssl","Gebruik SSL"
"Use tls","Gebruik TLS"
"User Name","Gebruikersnaam"
"User name","Gebruikersnaam"
"View","Bekijk"
"Visible at frontend","Zichtbaar in frontend"
"Website","Website"
"Wrong newsletter template.","Verkeerde sjabloon nieuwsbrief"
"XML","XML"
"XML-RPC URL","XML-RPC URL"
"Yes","Ja"
"You are currently not subscribed to any newsletter.","Momenteel is voor geen enkele nieuwsbrief een abonnement gevonden"
"You are currently subscribed to","Uitgeschreven voor"
"You can use Market Segmentation Suite rules to send your templates","Market Segmentation Suite regels kunnen gebruikt worden om templates te verzenden"
"You have been successfully subscribed","Succesvol geabonneerd"
"You have been successfully unsubscribed","Uitschrijving succesvol"
"Your subscription is activated now","Het abonnement is geactiveerd"
"Your subscriptions have been successfully updated","De abonnementen zijn bijgewerkt"
"Your subscriptions:","De abonnementen:"
"ZIP","Postcode"
"Zip/Postal Code","Postcode"
"is","is"
"is not","is niet"
