"Dutch","Nederlands"
"Your payment has failed. If you wish, you can try using a different payment method.","Uw betaling is niet geslaagd. Indien gewenst, kunt u een andere betaalmethode proberen."
"Payment fee","Betaaltoeslag"
"Payment fee amount. A positive amount will be used as a fixed amount, a negative amount  as percentage. Using both is also possible by separation with a semicolon. Eg. 0.30;-1.2 results in 30 cents + 1.2% of the order amount.","Betaaltoeslag bedrag. Een positief getal wordt als vast bedrag gebruikt, een negatief getal als percentage. Beide opgeven is ook mogelijk door deze te scheiden met een punt-comma. Voorbeeld: 0.30;-1.2 resulteert in 30 cent + 1.2% van het orderbedrag."
"Payment fee tax class","Betaaltoeslag BTW tarief"
"Choose the fee's tax class","Kies een BTW tarief voor de toeslag"
"Including/Excluding Tax","Inclusief/Exclusief BTW"
"Yes = fee entered including tax / No = fee entered excluding tax","Ja = opgegeven tarief is incl BTW / Nee = opgegeven tarief is excl BTW"
"Payment fee label","Betaaltoeslag beschrijving"
"Short description which is shown on orders/invoices","Korte omschrijving welke zichtbaar is op orders/facturen"
"Send Order Email only at payment","Verstuur bestelling Email pas bij betaling"
"Send Order Email only after payment completion.","Verstuur de bestelling Email pas als de betaling afgerond is."
"Instructions","Instructies"
"Payment failed.","Betaling mislukt."
"Payment expired.","Betaling verlopen."
"Payment canceled by user.","Betaling geannuleerd door gebruiker."
"Transaction pending: Waiting for customer action.", "Betaling pending: Wacht op actie van klant."
"Transaction pending: Waiting for confirmation.","Betaling pending: Wacht op bevestiging." 
"Version","Versie"
"Benificiary","Begunstidge"
"Benificiary IBAN","Begunstidge IBAN"
"Benificiary BIC","Begunstidge BIC"
"Reference","Referentie"
