"ACCEPTED","Geaccepteerd"
"Deze bestelling is verwijderd.","Deze bestelling is verwijderd."
"Direct","Direct"
"Display added cost as","Extra kosten tonen in de vorm"
"Email","E-mail"
"Excl","Excl"
"FAILED","Mislukt"
"Factuur Totalen","Factuur Totalen"
"Factuur adres","Factuur adres"
"Fixedcost heading","Instellingen voor extra kosten"
"Fout:","Fout:"
"Geboortedatum","Geboortedatum"
"Het kan zijn dat u onjuiste gegevens heeft ingevoerd of dat u nog een of meerdere vorderingen heeft uitstaan bij AfterPay.","Het kan zijn dat u onjuiste gegevens heeft ingevoerd of dat u nog een of meerdere vorderingen heeft uitstaan bij AfterPay."
"Het spijt ons u te moeten mededelen dat uw aanvraag om uw bestelling op rekening te betalen niet door AfterPay is geaccepteerd.","Het spijt ons u te moeten mededelen dat uw aanvraag om uw bestelling op rekening te betalen niet door AfterPay is geaccepteerd."
"INITIAL","Nieuw"
"IP adres","IP adres"
"Ik ga akkoord met de Algemene Voorwaarden van AfterPay &copy;","Ik ga akkoord met de Algemene Voorwaarden van AfterPay &copy;"
"Incl","Incl"
"Initial orderstatus","Nieuwe order status"
"Klant Email","Klant e-mail"
"Klant inlichten over extra kosten tijdens afrekenen","Klant inlichten over extra kosten tijdens afrekenen"
"Let op!","Let op!"
"Mob:","Mob:"
"Mobiel","Mobiel nummer"
"Mobielnummer","Mobielnummer"
"Na het plaatsen van de bestelling zal om uw rekening nummer en geboortedatum worden gevraagd.","Na het plaatsen van de bestelling zal om uw rekening nummer en geboortedatum worden gevraagd."
"Naam","Naam"
"Nr","Nr"
"Omgeving","Omgeving"
"Order #%1$s (%2$s)","Bestelling %1$s (%2$s)"
"Order datum","Order datum"
"Order heading","Order instellingen"
"Order niet voltooid","Order niet voltooid"
"Order regels","Order regels"
"Order status","Order status"
"Portfolio Id","Portfolio Id"
"Postcode","Postcode"
"Prijs Excl Btw","Prijs Excl Btw"
"Prijs Incl Btw","Prijs Incl Btw"
"Productie","Productie"
"RELEASED","Vrijgegeven"
"Rekening nr.","Rekening nr."
"Rekeningnummer","Rekeningnummer"
"Relatie Id","Relatie Id"
"Rest heading","Overige instellingen"
"ResultaatCode","ResultaatCode"
"Sales","Sales"
"SessieID","Sessie-ID"
"Sommige aamvragem konden niet worden verwijderd.","Sommige aanvragen konden niet worden verwijderd."
"Sommige aanvragen konden niet worden aangepast.","Sommige aanvragen konden niet worden aangepast."
"Sommige aanvragen konden niet worden gevonden.","Sommige aanvragen konden niet worden gevonden."
"Start Procedure","Start Procedure"
"Status","Status"
"Status wijzigen","Status wijzigen"
"StatusCode","StatusCode"
"Straat/Huisnr./Toev.","Straat/Huisnr./Toev."
"Subtotaal Excl Btw","Subtotaal Excl Btw"
"Tax Class for added costs","BTW tarief voor extra kosten"
"Tel:","Tel:"
"Telefoon","Vast telefoonnummer"
"Telefoonnummer","Telefoonnummer"
"Test","Test"
"Totaal","Totaal"
"Totaal Excl Btw","Totaal Excl Btw"
"U kunt de bestelling alleen afronden door een andere betaalmethode te selecteren.","U kunt de bestelling alleen afronden door een andere betaalmethode te selecteren."
"U kunt dit venster nu <a href=""%1$s"">sluiten</a>.","'U kunt dit venster nu <a href=""%1$s"">sluiten</a>.'"
"U moet eerst de Afterpay procedure voltooien","U moet eerst de AfterPay procedure voltooien"
"U ontvangt van AfterPay een digitale factuur op de door u opgegeven e-mail adres.","U ontvangt van AfterPay een digitale factuur op de door u opgegeven e-mail adres."
"Uw aanvraag om op rekening te betalen is door AfterPay B.V. geaccepteerd.","Uw aanvraag om op rekening te betalen is door AfterPay B.V. geaccepteerd."
"Verwijderen","Verwijderen"
"Verzend adres","Verzend adres"
"Voltooi nu de bestelling om met Afterpay af te rekenen.","Voltooi nu de bestelling om met AfterPay af te rekenen."
"Voor Afterpay zijn extra gegevens noodzakelijk.","Voor AfterPay zijn extra gegevens noodzakelijk."
"Voor het gebruik van AfterPay zal %1$s in rekening worden gebracht.","Voor het gebruik van AfterPay zal %1$s in rekening worden gebracht."
"Voor vragen over uw afwijzing kunt u (2 uur na uw afwijzing) contact opnemen met de Klantenservice van AfterPay,","Voor vragen over uw afwijzing kunt u (2 uur na uw afwijzing) contact opnemen met de Klantenservice van AfterPay,"
"Vrijgeven","Vrijgeven"
"WAITING_FOR_DECLINE","Wacht op afwijzing"
"WAITING_FOR_RELEASE","Wacht op vrijgeven"
"Weet u het zeker?","Weet u het zeker?"
"Wijze van betalen","Wijze van betalen"
"dag","dag"
"jaar","jaar"
"maand","maand"
"terug naar de Bestel Procedure","terug naar de Bestel Procedure"
"via telefoonnummer 0900 - 25 26 27 5 (15ct p/m) of via klantenservice@afterpay.nl.","via telefoonnummer 0900 - 25 26 27 5 (15ct p/m) of via klantenservice@afterpay.nl."
